"gender_c" "age_c" "occupation_c" "population"
"38" "Female" "10 to 11" "Arbeiders, daglooners" 297
"39" "Male" "12 to 15" "Arbeiders, daglooners" 14041
"40" "Female" "12 to 15" "Arbeiders, daglooners" 4369
"41" "Male" "16 to 23 years" "Arbeiders, daglooners" 54025
"42" "Female" "16 to 23 years" "Arbeiders, daglooners" 14858
"43" "Male" "Older than 23" "Arbeiders, daglooners" 312523
"44" "Female" "Older than 23" "Arbeiders, daglooners" 75107
"45" "Male" "12 to 15" "Asch-, bagger- en vuilnislieden" 14
"46" "Male" "16 to 23 years" "Asch-, bagger- en vuilnislieden" 64
"47" "Male" "Older than 23" "Asch-, bagger- en vuilnislieden" 744
"48" "Male" "12 to 15" "Azijnstokers, kunstazijnmakers" 2
"49" "Male" "16 to 23 years" "Azijnstokers, kunstazijnmakers" 42
"50" "Male" "Older than 23" "Azijnstokers, kunstazijnmakers" 248
"51" "Female" "Older than 23" "Azijnstokers, kunstazijnmakers" 4
"52" "Male" "10 to 11" "Baardscheerders, kappers en paruikenmakers" 6
"53" "Male" "12 to 15" "Baardscheerders, kappers en paruikenmakers" 231
"54" "Male" "16 to 23 years" "Baardscheerders, kappers en paruikenmakers" 663
"55" "Male" "Older than 23" "Baardscheerders, kappers en paruikenmakers" 4175
"56" "Female" "Older than 23" "Baardscheerders, kappers en paruikenmakers" 62
"57" "Male" "Older than 23" "Badstoofhouders" 36
"58" "Female" "Older than 23" "Badstoofhouders" 10
"59" "Female" "16 to 23 years" "Bakers" 2
"60" "Female" "Older than 23" "Bakers" 278
"61" "Male" "16 to 23 years" "Bankiers, geldwisselaars, kassiers" 9
"62" "Male" "Older than 23" "Bankiers, geldwisselaars, kassiers" 433
"63" "Female" "Older than 23" "Bankiers, geldwisselaars, kassiers" 2
"64" "Male" "10 to 11" "Bedden- en matrassenmakers, behangers en stoffeerders" 8
"65" "Male" "12 to 15" "Bedden- en matrassenmakers, behangers en stoffeerders" 326
"66" "Female" "12 to 15" "Bedden- en matrassenmakers, behangers en stoffeerders" 2
"67" "Male" "16 to 23 years" "Bedden- en matrassenmakers, behangers en stoffeerders" 777
"68" "Male" "Older than 23" "Bedden- en matrassenmakers, behangers en stoffeerders" 2974
"69" "Female" "Older than 23" "Bedden- en matrassenmakers, behangers en stoffeerders" 58
"70" "Male" "Younger than 10" "Beeldhouwers, lofwerksnijders" 2
"71" "Male" "10 to 11" "Beeldhouwers, lofwerksnijders" 8
"72" "Male" "12 to 15" "Beeldhouwers, lofwerksnijders" 125
"73" "Male" "16 to 23 years" "Beeldhouwers, lofwerksnijders" 389
"74" "Male" "Older than 23" "Beeldhouwers, lofwerksnijders" 659
"75" "Male" "Older than 23" "Been- en ivoorbranders" 2
"76" "Male" "Older than 23" "Beenzwartfabriekanten" 8
"77" "Male" "16 to 23 years" "Behangseldrukkers" 2
"78" "Male" "Older than 23" "Behangseldrukkers" 8
"79" "Male" "16 to 23 years" "Beleenbankhouders, inbrengers" 2
"80" "Male" "Older than 23" "Beleenbankhouders, inbrengers" 192
"81" "Female" "Older than 23" "Beleenbankhouders, inbrengers" 74
"82" "Female" "16 to 23 years" "Besteders" 3
"83" "Male" "Older than 23" "Besteders" 100
"84" "Female" "Older than 23" "Besteders" 238
"85" "Female" "10 to 11" "Bestellers, expediteurs, factoors, voetboden" 2
"86" "Male" "12 to 15" "Bestellers, expediteurs, factoors, voetboden" 8
"87" "Male" "16 to 23 years" "Bestellers, expediteurs, factoors, voetboden" 114
"88" "Female" "16 to 23 years" "Bestellers, expediteurs, factoors, voetboden" 2
"89" "Male" "Older than 23" "Bestellers, expediteurs, factoors, voetboden" 2704
"90" "Female" "Older than 23" "Bestellers, expediteurs, factoors, voetboden" 134
"91" "Male" "Younger than 10" "Bezembinders, rietboeren, rijswerkers" 2
"92" "Male" "10 to 11" "Bezembinders, rietboeren, rijswerkers" 4
"93" "Female" "10 to 11" "Bezembinders, rietboeren, rijswerkers" 2
"94" "Male" "12 to 15" "Bezembinders, rietboeren, rijswerkers" 60
"95" "Female" "12 to 15" "Bezembinders, rietboeren, rijswerkers" 2
"96" "Male" "16 to 23 years" "Bezembinders, rietboeren, rijswerkers" 154
"97" "Female" "16 to 23 years" "Bezembinders, rietboeren, rijswerkers" 18
"98" "Male" "Older than 23" "Bezembinders, rietboeren, rijswerkers" 854
"99" "Female" "Older than 23" "Bezembinders, rietboeren, rijswerkers" 104
"100" "Male" "12 to 15" "Bierbrouwers, bierstekers" 22
"101" "Male" "16 to 23 years" "Bierbrouwers, bierstekers" 240
"102" "Male" "Older than 23" "Bierbrouwers, bierstekers" 2075
"103" "Female" "Older than 23" "Bierbrouwers, bierstekers" 76
"104" "Male" "12 to 15" "Bijenhouders" 6
"105" "Male" "16 to 23 years" "Bijenhouders" 10
"106" "Male" "Older than 23" "Bijenhouders" 237
"107" "Male" "Older than 23" "Bijenkorvenmakers" 2
"108" "Male" "16 to 23 years" "Billard- en kaatsballenmakers" 8
"109" "Male" "Older than 23" "Billard- en kaatsballenmakers" 42
"110" "Male" "10 to 11" "Bleekers" 8
"111" "Male" "12 to 15" "Bleekers" 81
"112" "Female" "12 to 15" "Bleekers" 12
"113" "Male" "16 to 23 years" "Bleekers" 371
"114" "Female" "16 to 23 years" "Bleekers" 135
"115" "Male" "Older than 23" "Bleekers" 2197
"116" "Female" "Older than 23" "Bleekers" 722
"117" "Male" "10 to 11" "Blikwerkers en lampenmakers" 6
"118" "Male" "12 to 15" "Blikwerkers en lampenmakers" 76
"119" "Male" "16 to 23 years" "Blikwerkers en lampenmakers" 158
"120" "Male" "Older than 23" "Blikwerkers en lampenmakers" 714
"121" "Female" "Older than 23" "Blikwerkers en lampenmakers" 6
"122" "Male" "Younger than 10" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 5
"123" "Male" "10 to 11" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 70
"124" "Male" "12 to 15" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 1007
"125" "Female" "12 to 15" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 18
"126" "Male" "16 to 23 years" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 3426
"127" "Female" "16 to 23 years" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 68
"128" "Male" "Older than 23" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 17774
"129" "Female" "Older than 23" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 924
"130" "Male" "16 to 23 years" "Blok-, mast- en pompenmakers" 1
"131" "Male" "Older than 23" "Blok-, mast- en pompenmakers" 66
"132" "Male" "10 to 11" "Boek- en dagbladdrukkers en verkoopers" 64
"133" "Male" "12 to 15" "Boek- en dagbladdrukkers en verkoopers" 736
"134" "Male" "16 to 23 years" "Boek- en dagbladdrukkers en verkoopers" 1639
"135" "Male" "Older than 23" "Boek- en dagbladdrukkers en verkoopers" 4686
"136" "Female" "Older than 23" "Boek- en dagbladdrukkers en verkoopers" 66
"137" "Male" "Younger than 10" "Boekbinders" 4
"138" "Male" "10 to 11" "Boekbinders" 68
"139" "Male" "12 to 15" "Boekbinders" 630
"140" "Male" "16 to 23 years" "Boekbinders" 990
"141" "Male" "Older than 23" "Boekbinders" 1948
"142" "Female" "Older than 23" "Boekbinders" 14
"143" "Male" "10 to 11" "Bontwerkers" 2
"144" "Female" "10 to 11" "Bontwerkers" 7
"145" "Male" "12 to 15" "Bontwerkers" 18
"146" "Female" "12 to 15" "Bontwerkers" 22
"147" "Male" "16 to 23 years" "Bontwerkers" 65
"148" "Female" "16 to 23 years" "Bontwerkers" 28
"149" "Male" "Older than 23" "Bontwerkers" 306
"150" "Female" "Older than 23" "Bontwerkers" 24
"151" "Male" "10 to 11" "Bordpapier (werkers in), doozen- en kaartenmakers" 2
"152" "Male" "12 to 15" "Bordpapier (werkers in), doozen- en kaartenmakers" 16
"153" "Female" "12 to 15" "Bordpapier (werkers in), doozen- en kaartenmakers" 6
"154" "Male" "16 to 23 years" "Bordpapier (werkers in), doozen- en kaartenmakers" 26
"155" "Female" "16 to 23 years" "Bordpapier (werkers in), doozen- en kaartenmakers" 10
"156" "Male" "Older than 23" "Bordpapier (werkers in), doozen- en kaartenmakers" 219
"157" "Female" "Older than 23" "Bordpapier (werkers in), doozen- en kaartenmakers" 14
"158" "Male" "Younger than 10" "Borstelmakers" 4
"159" "Male" "10 to 11" "Borstelmakers" 8
"160" "Male" "12 to 15" "Borstelmakers" 130
"161" "Male" "16 to 23 years" "Borstelmakers" 404
"162" "Female" "16 to 23 years" "Borstelmakers" 2
"163" "Male" "Older than 23" "Borstelmakers" 1357
"164" "Female" "Older than 23" "Borstelmakers" 38
"165" "Male" "12 to 15" "Bouwmeesters" 8
"166" "Male" "16 to 23 years" "Bouwmeesters" 86
"167" "Male" "Older than 23" "Bouwmeesters" 391
"168" "Male" "12 to 15" "Branders en stokers van siroop, likeuren, sterke dranken" 68
"169" "Male" "16 to 23 years" "Branders en stokers van siroop, likeuren, sterke dranken" 364
"170" "Male" "Older than 23" "Branders en stokers van siroop, likeuren, sterke dranken" 3179
"171" "Female" "Older than 23" "Branders en stokers van siroop, likeuren, sterke dranken" 22
"172" "Male" "12 to 15" "Brandspuitmakers" 14
"173" "Male" "Older than 23" "Brandspuitmakers" 10
"174" "Male" "12 to 15" "Breuk- en draagbanden-, keurslijfmakers" 2
"175" "Female" "12 to 15" "Breuk- en draagbanden-, keurslijfmakers" 6
"176" "Male" "16 to 23 years" "Breuk- en draagbanden-, keurslijfmakers" 4
"177" "Female" "16 to 23 years" "Breuk- en draagbanden-, keurslijfmakers" 20
"178" "Male" "Older than 23" "Breuk- en draagbanden-, keurslijfmakers" 90
"179" "Female" "Older than 23" "Breuk- en draagbanden-, keurslijfmakers" 51
"180" "Male" "16 to 23 years" "Brillenslijpers en verkoopers" 8
"181" "Male" "Older than 23" "Brillenslijpers en verkoopers" 52
"182" "Male" "Younger than 10" "Brood-, kleingoed-, koek- en banketbakkers" 6
"183" "Female" "Younger than 10" "Brood-, kleingoed-, koek- en banketbakkers" 2
"184" "Male" "10 to 11" "Brood-, kleingoed-, koek- en banketbakkers" 63
"185" "Male" "12 to 15" "Brood-, kleingoed-, koek- en banketbakkers" 2171
"186" "Female" "12 to 15" "Brood-, kleingoed-, koek- en banketbakkers" 6
"187" "Male" "16 to 23 years" "Brood-, kleingoed-, koek- en banketbakkers" 7614
"188" "Female" "16 to 23 years" "Brood-, kleingoed-, koek- en banketbakkers" 17
"189" "Male" "Older than 23" "Brood-, kleingoed-, koek- en banketbakkers" 26777
"190" "Female" "Older than 23" "Brood-, kleingoed-, koek- en banketbakkers" 784
"191" "Male" "12 to 15" "Broodslijters" 6
"192" "Male" "16 to 23 years" "Broodslijters" 40
"193" "Male" "Older than 23" "Broodslijters" 130
"194" "Female" "Older than 23" "Broodslijters" 6
"195" "Male" "Younger than 10" "Chicoreifabriekanten en werklieden" 2
"196" "Male" "10 to 11" "Chicoreifabriekanten en werklieden" 2
"197" "Female" "10 to 11" "Chicoreifabriekanten en werklieden" 2
"198" "Male" "12 to 15" "Chicoreifabriekanten en werklieden" 10
"199" "Male" "16 to 23 years" "Chicoreifabriekanten en werklieden" 32
"200" "Male" "Older than 23" "Chicoreifabriekanten en werklieden" 162
"201" "Female" "Older than 23" "Chicoreifabriekanten en werklieden" 10
"202" "Male" "12 to 15" "Chocoladefabriekanten" 2
"203" "Male" "16 to 23 years" "Chocoladefabriekanten" 12
"204" "Male" "Older than 23" "Chocoladefabriekanten" 64
"205" "Male" "12 to 15" "Dagbladrondbrengers" 14
"206" "Male" "16 to 23 years" "Dagbladrondbrengers" 30
"207" "Female" "16 to 23 years" "Dagbladrondbrengers" 4
"208" "Male" "Older than 23" "Dagbladrondbrengers" 150
"209" "Female" "Older than 23" "Dagbladrondbrengers" 32
"210" "Male" "12 to 15" "Dagbladschrijvers, letterkundigen" 2
"211" "Male" "16 to 23 years" "Dagbladschrijvers, letterkundigen" 1
"212" "Male" "Older than 23" "Dagbladschrijvers, letterkundigen" 163
"213" "Male" "16 to 23 years" "Debiteurs en gedelegeerden in de loterij" 6
"214" "Male" "Older than 23" "Debiteurs en gedelegeerden in de loterij" 420
"215" "Female" "Older than 23" "Debiteurs en gedelegeerden in de loterij" 16
"216" "Male" "10 to 11" "Dekkers (lei-, pannen-, riet-, enz.)" 4
"217" "Male" "12 to 15" "Dekkers (lei-, pannen-, riet-, enz.)" 116
"218" "Male" "16 to 23 years" "Dekkers (lei-, pannen-, riet-, enz.)" 460
"219" "Male" "Older than 23" "Dekkers (lei-, pannen-, riet-, enz.)" 3892
"220" "Female" "Older than 23" "Dekkers (lei-, pannen-, riet-, enz.)" 10
"221" "Male" "16 to 23 years" "Deurwaarders" 2
"222" "Male" "Older than 23" "Deurwaarders" 804
"223" "Male" "Younger than 10" "Dienstboden, portiers enz." 43
"224" "Female" "Younger than 10" "Dienstboden, portiers enz." 104
"225" "Male" "10 to 11" "Dienstboden, portiers enz." 154
"226" "Female" "10 to 11" "Dienstboden, portiers enz." 667
"227" "Male" "12 to 15" "Dienstboden, portiers enz." 3938
"228" "Female" "12 to 15" "Dienstboden, portiers enz." 17065
"229" "Male" "16 to 23 years" "Dienstboden, portiers enz." 18156
"230" "Female" "16 to 23 years" "Dienstboden, portiers enz." 105182
"231" "Male" "Older than 23" "Dienstboden, portiers enz." 39252
"232" "Female" "Older than 23" "Dienstboden, portiers enz." 144415
"233" "Male" "12 to 15" "Doodgravers en bedienaars van begrafenissen" 2
"234" "Male" "16 to 23 years" "Doodgravers en bedienaars van begrafenissen" 23
"235" "Male" "Older than 23" "Doodgravers en bedienaars van begrafenissen" 1670
"236" "Female" "Older than 23" "Doodgravers en bedienaars van begrafenissen" 4
"237" "Male" "16 to 23 years" "Eendenkooihouders" 2
"238" "Male" "Older than 23" "Eendenkooihouders" 28
"239" "Male" "Older than 23" "Evangelisten" 5
"240" "Male" "Older than 23" "Fabriekanten van friesch-groen" 2
"241" "Male" "Older than 23" "Fabriekanten van kunstmest" 2
"242" "Male" "12 to 15" "Fabriekanten van verfwaren" 6
"243" "Male" "16 to 23 years" "Fabriekanten van verfwaren" 12
"244" "Male" "Older than 23" "Fabriekanten van verfwaren" 16
"245" "Male" "10 to 11" "Fabriekanten van verschillenden aard en werklieden" 2
"246" "Female" "10 to 11" "Fabriekanten van verschillenden aard en werklieden" 22
"247" "Male" "12 to 15" "Fabriekanten van verschillenden aard en werklieden" 23
"248" "Female" "12 to 15" "Fabriekanten van verschillenden aard en werklieden" 38
"249" "Male" "16 to 23 years" "Fabriekanten van verschillenden aard en werklieden" 57
"250" "Female" "16 to 23 years" "Fabriekanten van verschillenden aard en werklieden" 120
"251" "Male" "Older than 23" "Fabriekanten van verschillenden aard en werklieden" 879
"252" "Female" "Older than 23" "Fabriekanten van verschillenden aard en werklieden" 134
"253" "Male" "12 to 15" "Fineerzagers" 2
"254" "Male" "16 to 23 years" "Fineerzagers" 4
"255" "Male" "Older than 23" "Fineerzagers" 42
"256" "Male" "12 to 15" "Gaarkeukenhouders" 14
"257" "Male" "16 to 23 years" "Gaarkeukenhouders" 82
"258" "Male" "Older than 23" "Gaarkeukenhouders" 593
"259" "Female" "Older than 23" "Gaarkeukenhouders" 72
"260" "Male" "12 to 15" "Galanteriewarenhandelaars en verkoopers" 12
"261" "Female" "12 to 15" "Galanteriewarenhandelaars en verkoopers" 4
"262" "Male" "16 to 23 years" "Galanteriewarenhandelaars en verkoopers" 67
"263" "Female" "16 to 23 years" "Galanteriewarenhandelaars en verkoopers" 5
"264" "Male" "Older than 23" "Galanteriewarenhandelaars en verkoopers" 514
"265" "Female" "Older than 23" "Galanteriewarenhandelaars en verkoopers" 91
"266" "Male" "12 to 15" "Garen- en bandwinkeliers" 2
"267" "Male" "16 to 23 years" "Garen- en bandwinkeliers" 8
"268" "Female" "16 to 23 years" "Garen- en bandwinkeliers" 32
"269" "Male" "Older than 23" "Garen- en bandwinkeliers" 371
"270" "Female" "Older than 23" "Garen- en bandwinkeliers" 353
"271" "Male" "12 to 15" "Garentwijnders" 2
"272" "Male" "16 to 23 years" "Garentwijnders" 2
"273" "Male" "Older than 23" "Garentwijnders" 6
"274" "Female" "Older than 23" "Garentwijnders" 4
"275" "Male" "12 to 15" "Gazfabriekanten" 2
"276" "Male" "16 to 23 years" "Gazfabriekanten" 59
"277" "Male" "Older than 23" "Gazfabriekanten" 412
"278" "Male" "12 to 15" "Gazvitters" 4
"279" "Male" "16 to 23 years" "Gazvitters" 4
"280" "Male" "Older than 23" "Gazvitters" 75
"281" "Male" "12 to 15" "Geneesheeren, heelmeesters, officieren van gezondheid, vroedmeesters, vrouwen, oog- en tandmeesters" 2
"282" "Male" "16 to 23 years" "Geneesheeren, heelmeesters, officieren van gezondheid, vroedmeesters, vrouwen, oog- en tandmeesters" 109
"283" "Female" "16 to 23 years" "Geneesheeren, heelmeesters, officieren van gezondheid, vroedmeesters, vrouwen, oog- en tandmeesters" 10
"284" "Male" "Older than 23" "Geneesheeren, heelmeesters, officieren van gezondheid, vroedmeesters, vrouwen, oog- en tandmeesters" 5033
"285" "Female" "Older than 23" "Geneesheeren, heelmeesters, officieren van gezondheid, vroedmeesters, vrouwen, oog- en tandmeesters" 1302
"286" "Male" "16 to 23 years" "Gepensioneerden (burgerlijke en militaire)" 15
"287" "Male" "Older than 23" "Gepensioneerden (burgerlijke en militaire)" 11201
"288" "Female" "Older than 23" "Gepensioneerden (burgerlijke en militaire)" 530
"289" "Male" "10 to 11" "Geschutgieters, geweermakers" 4
"290" "Male" "12 to 15" "Geschutgieters, geweermakers" 114
"291" "Male" "16 to 23 years" "Geschutgieters, geweermakers" 320
"292" "Female" "16 to 23 years" "Geschutgieters, geweermakers" 4
"293" "Male" "Older than 23" "Geschutgieters, geweermakers" 687
"294" "Female" "Older than 23" "Geschutgieters, geweermakers" 2
"295" "Male" "16 to 23 years" "Gevangenbewaarders en andere beambten in gevangenissen" 1
"296" "Female" "16 to 23 years" "Gevangenbewaarders en andere beambten in gevangenissen" 2
"297" "Male" "Older than 23" "Gevangenbewaarders en andere beambten in gevangenissen" 366
"298" "Female" "Older than 23" "Gevangenbewaarders en andere beambten in gevangenissen" 20
"299" "Male" "16 to 23 years" "Gezanten van vreemde mogendheden" 1
"300" "Male" "Older than 23" "Gezanten van vreemde mogendheden" 93
"301" "Female" "16 to 23 years" "Gezelschapsjufvrouwen" 1
"302" "Female" "Older than 23" "Gezelschapsjufvrouwen" 24
"303" "Male" "12 to 15" "Gistverkoopers" 4
"304" "Male" "16 to 23 years" "Gistverkoopers" 16
"305" "Male" "Older than 23" "Gistverkoopers" 62
"306" "Male" "Younger than 10" "Glasblazers" 12
"307" "Male" "10 to 11" "Glasblazers" 34
"308" "Female" "10 to 11" "Glasblazers" 2
"309" "Male" "12 to 15" "Glasblazers" 118
"310" "Male" "16 to 23 years" "Glasblazers" 210
"311" "Female" "16 to 23 years" "Glasblazers" 2
"312" "Male" "Older than 23" "Glasblazers" 412
"313" "Female" "Older than 23" "Glasblazers" 12
"314" "Male" "12 to 15" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten dienstdoende personen" 6
"315" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten dienstdoende personen" 6
"316" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten dienstdoende personen" 158
"317" "Female" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten dienstdoende personen" 20
"318" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten rabbijnen" 2
"319" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Israelieten rabbijnen" 76
"320" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten dienstdoende personen" 3
"321" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten dienstdoende personen" 580
"322" "Female" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten dienstdoende personen" 102
"323" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten katechiseermeesters" 1
"324" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten katechiseermeesters" 11
"325" "Female" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten katechiseermeesters" 1
"326" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten kweekel. voor het zendelingwerk" 14
"327" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten kweekel. voor het zendelingwerk" 12
"328" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten predikanten" 9
"329" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten predikanten" 3587
"330" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken dienstdoende personen" 10
"331" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken dienstdoende personen" 645
"332" "Female" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken dienstdoende personen" 122
"333" "Female" "12 to 15" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken geestelijke zusters" 2
"334" "Female" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken geestelijke zusters" 183
"335" "Female" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken geestelijke zusters" 1807
"336" "Male" "12 to 15" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken kloosterlingen" 16
"337" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken kloosterlingen" 92
"338" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken kloosterlingen" 708
"339" "Male" "16 to 23 years" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken pastoors, kapelaans" 10
"340" "Male" "Older than 23" "Godsdienstleeraren en aan de dienst verbonden personen. Roomschkatholijken pastoors, kapelaans" 3380
"341" "Female" "Younger than 10" "Gouddraadtrekkers, passementwerkers" 12
"342" "Male" "10 to 11" "Gouddraadtrekkers, passementwerkers" 12
"343" "Female" "10 to 11" "Gouddraadtrekkers, passementwerkers" 14
"344" "Male" "12 to 15" "Gouddraadtrekkers, passementwerkers" 86
"345" "Female" "12 to 15" "Gouddraadtrekkers, passementwerkers" 104
"346" "Male" "16 to 23 years" "Gouddraadtrekkers, passementwerkers" 182
"347" "Female" "16 to 23 years" "Gouddraadtrekkers, passementwerkers" 266
"348" "Male" "Older than 23" "Gouddraadtrekkers, passementwerkers" 577
"349" "Female" "Older than 23" "Gouddraadtrekkers, passementwerkers" 538
"350" "Male" "12 to 15" "Graanhandelaars" 4
"351" "Male" "16 to 23 years" "Graanhandelaars" 47
"352" "Male" "Older than 23" "Graanhandelaars" 625
"353" "Female" "Older than 23" "Graanhandelaars" 8
"354" "Male" "12 to 15" "Graveurs op metaal en steen, stempelsnijders" 28
"355" "Male" "16 to 23 years" "Graveurs op metaal en steen, stempelsnijders" 129
"356" "Male" "Older than 23" "Graveurs op metaal en steen, stempelsnijders" 478
"357" "Male" "16 to 23 years" "Griendbazen" 1
"358" "Male" "Older than 23" "Griendbazen" 5
"359" "Male" "12 to 15" "Groenten- en fruitverkoopers" 36
"360" "Female" "12 to 15" "Groenten- en fruitverkoopers" 6
"361" "Male" "16 to 23 years" "Groenten- en fruitverkoopers" 128
"362" "Female" "16 to 23 years" "Groenten- en fruitverkoopers" 59
"363" "Male" "Older than 23" "Groenten- en fruitverkoopers" 1056
"364" "Female" "Older than 23" "Groenten- en fruitverkoopers" 1564
"365" "Male" "16 to 23 years" "Grondeigenaars" 6
"366" "Female" "16 to 23 years" "Grondeigenaars" 2
"367" "Male" "Older than 23" "Grondeigenaars" 359
"368" "Female" "Older than 23" "Grondeigenaars" 32
"369" "Male" "16 to 23 years" "Grossiers en slijters" 17
"370" "Female" "16 to 23 years" "Grossiers en slijters" 2
"371" "Male" "Older than 23" "Grossiers en slijters" 1036
"372" "Female" "Older than 23" "Grossiers en slijters" 155
"373" "Male" "10 to 11" "Grutters- en kruideniers" 4
"374" "Male" "12 to 15" "Grutters- en kruideniers" 122
"375" "Male" "16 to 23 years" "Grutters- en kruideniers" 587
"376" "Female" "16 to 23 years" "Grutters- en kruideniers" 6
"377" "Male" "Older than 23" "Grutters- en kruideniers" 4967
"378" "Female" "Older than 23" "Grutters- en kruideniers" 716
"379" "Male" "16 to 23 years" "Haarkammenmakers" 6
"380" "Male" "Older than 23" "Haarkammenmakers" 12
"381" "Male" "12 to 15" "Haarwerkers" 1
"382" "Male" "16 to 23 years" "Haarwerkers" 12
"383" "Male" "Older than 23" "Haarwerkers" 108
"384" "Female" "Older than 23" "Haarwerkers" 4
"385" "Male" "12 to 15" "Handelsleerlingen" 28
"386" "Male" "16 to 23 years" "Handelsleerlingen" 104
