"gender_c" "age_c" "occupation_c" "population"
"144" "Female" "Older than 16" "Bed- en matrassenmakers en verhuurders, behangers, stoffeerders" 450
"153" "Male" "10 to 11" "Beeldhouwers, lofwerksnijders" 10
"154" "Male" "12 to 15" "Beeldhouwers, lofwerksnijders" 250
"155" "Male" "Older than 16" "Beeldhouwers, lofwerksnijders" 2140
"161" "Male" "Older than 16" "Beleenbankhouders, inbrengers enz." 1470
"162" "Female" "Older than 16" "Beleenbankhouders, inbrengers enz." 850
"165" "Male" "12 to 15" "Beroep onbekend" 10
"166" "Male" "Older than 16" "Beroep onbekend" 110
"167" "Female" "Older than 16" "Beroep onbekend" 70
"172" "Male" "Older than 16" "Besteders" 370
"173" "Female" "Older than 16" "Besteders" 1060
"181" "Male" "Younger than 10" "Bestellers, expediteurs, factoors, voetboden" 10
"182" "Male" "10 to 11" "Bestellers, expediteurs, factoors, voetboden" 50
"183" "Female" "10 to 11" "Bestellers, expediteurs, factoors, voetboden" 20
"184" "Male" "12 to 15" "Bestellers, expediteurs, factoors, voetboden" 450
"185" "Female" "12 to 15" "Bestellers, expediteurs, factoors, voetboden" 180
"186" "Male" "Older than 16" "Bestellers, expediteurs, factoors, voetboden" 1166
"187" "Female" "Older than 16" "Bestellers, expediteurs, factoors, voetboden" 3640
"195" "Male" "10 to 11" "Bezembinders, rietboeren, rijswerkers" 70
"196" "Female" "10 to 11" "Bezembinders, rietboeren, rijswerkers" 10
"197" "Male" "12 to 15" "Bezembinders, rietboeren, rijswerkers" 420
"198" "Female" "12 to 15" "Bezembinders, rietboeren, rijswerkers" 70
"199" "Male" "Older than 16" "Bezembinders, rietboeren, rijswerkers" 7040
"200" "Female" "Older than 16" "Bezembinders, rietboeren, rijswerkers" 470
"214" "Male" "12 to 15" "Bierbrouwers, bierstekers" 40
"215" "Male" "Older than 16" "Bierbrouwers, bierstekers" 9840
"216" "Female" "Older than 16" "Bierbrouwers, bierstekers" 500
"221" "Male" "Older than 16" "Bijenteelt (personen behoorende tot de)" 1170
"224" "Male" "12 to 15" "Billard-, kaats-ballenmakers" 10
"225" "Male" "Older than 16" "Billard-, kaats-ballenmakers" 100
"228" "Male" "Older than 16" "Billardmakers" 60
"236" "Male" "Younger than 10" "Bleekers" 10
"237" "Male" "10 to 11" "Bleekers" 60
"238" "Female" "10 to 11" "Bleekers" 30
"239" "Male" "12 to 15" "Bleekers" 360
"240" "Female" "12 to 15" "Bleekers" 190
"241" "Male" "Older than 16" "Bleekers" 1259
"242" "Female" "Older than 16" "Bleekers" 9050
"250" "Male" "12 to 15" "Blik- en pleetwerkers, lampenmakers" 20
"251" "Male" "Older than 16" "Blik- en pleetwerkers, lampenmakers" 370
"252" "Female" "Older than 16" "Blik- en pleetwerkers, lampenmakers" 10
"263" "Male" "Younger than 10" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 60
"264" "Male" "10 to 11" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 420
"265" "Female" "10 to 11" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 60
"266" "Male" "12 to 15" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 5130
"267" "Female" "12 to 15" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 300
"268" "Male" "Older than 16" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 11255
"269" "Female" "Older than 16" "Bloemisten, boomkweekers, tuiniers, warmoezeniers" 9130
"281" "Male" "Younger than 10" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 20
"282" "Male" "10 to 11" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 180
"283" "Female" "10 to 11" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 10
"284" "Male" "12 to 15" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 2230
"285" "Male" "Older than 16" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 2664
"286" "Female" "Older than 16" "Boek- en dagbladdrukkers en verkoopers, meesters, knechts, letterzetters" 620
"295" "Male" "Younger than 10" "Boekbinders" 20
"296" "Male" "10 to 11" "Boekbinders" 210
"297" "Male" "12 to 15" "Boekbinders" 2190
"298" "Male" "Older than 16" "Boekbinders" 1103
"299" "Female" "Older than 16" "Boekbinders" 30
"306" "Male" "12 to 15" "Bontwerkers" 70
"307" "Male" "Older than 16" "Bontwerkers" 1080
"308" "Female" "Older than 16" "Bontwerkers" 40
"317" "Male" "10 to 11" "Bordpapier (werkers in) doozen-, kaartenmakers" 10
"318" "Male" "12 to 15" "Bordpapier (werkers in) doozen-, kaartenmakers" 190
"319" "Female" "12 to 15" "Bordpapier (werkers in) doozen-, kaartenmakers" 20
"320" "Male" "Older than 16" "Bordpapier (werkers in) doozen-, kaartenmakers" 1220
"321" "Female" "Older than 16" "Bordpapier (werkers in) doozen-, kaartenmakers" 360
"330" "Female" "Younger than 10" "Borduurwerkers, kantwerkers" 150
"331" "Female" "10 to 11" "Borduurwerkers, kantwerkers" 160
"332" "Male" "12 to 15" "Borduurwerkers, kantwerkers" 10
"333" "Female" "12 to 15" "Borduurwerkers, kantwerkers" 620
"334" "Male" "Older than 16" "Borduurwerkers, kantwerkers" 280
"335" "Female" "Older than 16" "Borduurwerkers, kantwerkers" 3340
"342" "Male" "Younger than 10" "Borstel-, kaarden-, kammen-, rijven-, zeeftenmakers" 20
"343" "Male" "10 to 11" "Borstel-, kaarden-, kammen-, rijven-, zeeftenmakers" 90
"344" "Male" "12 to 15" "Borstel-, kaarden-, kammen-, rijven-, zeeftenmakers" 760
"345" "Male" "Older than 16" "Borstel-, kaarden-, kammen-, rijven-, zeeftenmakers" 8000
"346" "Female" "Older than 16" "Borstel-, kaarden-, kammen-, rijven-, zeeftenmakers" 250
"356" "Male" "12 to 15" "Bouwmeesters" 20
"357" "Male" "Older than 16" "Bouwmeesters" 1700
"366" "Male" "10 to 11" "Branders en stokers van stroop, likeuren, sterke dranken" 10
"367" "Male" "12 to 15" "Branders en stokers van stroop, likeuren, sterke dranken" 80
"368" "Female" "12 to 15" "Branders en stokers van stroop, likeuren, sterke dranken" 10
"369" "Male" "Older than 16" "Branders en stokers van stroop, likeuren, sterke dranken" 1256
"370" "Female" "Older than 16" "Branders en stokers van stroop, likeuren, sterke dranken" 150
"376" "Male" "12 to 15" "Breuk- en draagbanden-, keurslijvenmakers" 30
"377" "Male" "Older than 16" "Breuk- en draagbanden-, keurslijvenmakers" 550
"378" "Female" "Older than 16" "Breuk- en draagbanden-, keurslijvenmakers" 430
"383" "Male" "Older than 16" "Brillenslijpers en verkoopers" 90
"384" "Female" "Older than 16" "Brillenslijpers en verkoopers" 30
"393" "Male" "Younger than 10" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 80
"394" "Male" "10 to 11" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 430
"395" "Male" "12 to 15" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 8460
"396" "Female" "12 to 15" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 20
"397" "Male" "Older than 16" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 15562
"398" "Female" "Older than 16" "Brood-, kleingoed-, koek- en banketbakkers en slijters" 8920
"407" "Male" "12 to 15" "Chicoreifabrijkanten" 20
"408" "Male" "Older than 16" "Chicoreifabrijkanten" 830
"409" "Female" "Older than 16" "Chicoreifabrijkanten" 30
"415" "Male" "12 to 15" "Chocoladefabrijkanten" 20
"416" "Male" "Older than 16" "Chocoladefabrijkanten" 350
"417" "Female" "Older than 16" "Chocoladefabrijkanten" 20
"421" "Male" "Older than 16" "Dagbladschrijvers, letterkundigen" 660
"422" "Female" "Older than 16" "Dagbladschrijvers, letterkundigen" 10
"426" "Male" "10 to 11" "Debiteurs en gedelegeerden in de loterij" 10
"427" "Male" "Older than 16" "Debiteurs en gedelegeerden in de loterij" 2560
"428" "Female" "Older than 16" "Debiteurs en gedelegeerden in de loterij" 70
"436" "Male" "10 to 11" "Dekkers (lei-, pannen-, riet-)" 80
"437" "Male" "12 to 15" "Dekkers (lei-, pannen-, riet-)" 810
"438" "Male" "Older than 16" "Dekkers (lei-, pannen-, riet-)" 2481
"439" "Female" "Older than 16" "Dekkers (lei-, pannen-, riet-)" 110
"444" "Male" "Older than 16" "Deurwaarders" 5360
"454" "Male" "Younger than 10" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 140
"455" "Female" "Younger than 10" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 560
"456" "Male" "10 to 11" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 760
"457" "Female" "10 to 11" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 3030
"458" "Male" "12 to 15" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 1112
"459" "Female" "12 to 15" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 5896
"460" "Male" "Older than 16" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 18398
"461" "Female" "Older than 16" "Dienstboden, bakers, huisbewaarders, minnen, oppassers, portiers" 9746
"470" "Male" "Older than 16" "Doodgravers, bedienaars van begrafenissen, verhuurders van rouwkleederen" 7190
"471" "Female" "Older than 16" "Doodgravers, bedienaars van begrafenissen, verhuurders van rouwkleederen" 190
"484" "Male" "Younger than 10" "Fabrijkanten van verschillenden aard" 230
"485" "Female" "Younger than 10" "Fabrijkanten van verschillenden aard" 120
"486" "Male" "10 to 11" "Fabrijkanten van verschillenden aard" 710
"487" "Female" "10 to 11" "Fabrijkanten van verschillenden aard" 270
"488" "Male" "12 to 15" "Fabrijkanten van verschillenden aard" 3920
"489" "Female" "12 to 15" "Fabrijkanten van verschillenden aard" 1410
"490" "Male" "Older than 16" "Fabrijkanten van verschillenden aard" 2471
"491" "Female" "Older than 16" "Fabrijkanten van verschillenden aard" 6430
"500" "Male" "Older than 16" "Fineerzagers" 450
"505" "Male" "12 to 15" "Gaarkeukenhouders" 40
"506" "Male" "Older than 16" "Gaarkeukenhouders" 2050
"507" "Female" "Older than 16" "Gaarkeukenhouders" 650
"514" "Male" "12 to 15" "Galanteriewarenhandelaars" 20
"515" "Male" "Older than 16" "Galanteriewarenhandelaars" 870
"516" "Female" "Older than 16" "Galanteriewarenhandelaars" 230
"521" "Male" "12 to 15" "Garen- en bandwinkeliers" 30
"522" "Male" "Older than 16" "Garen- en bandwinkeliers" 350
"523" "Female" "Older than 16" "Garen- en bandwinkeliers" 680
"528" "Male" "Older than 16" "Gazfabrijkanten" 760
"533" "Male" "10 to 11" "Geneesheeren, heelmeesters, officieren van gezondheid, oog- en tandmeesters, vroedmeesters, vroedvrouwen enz." 10
"534" "Male" "12 to 15" "Geneesheeren, heelmeesters, officieren van gezondheid, oog- en tandmeesters, vroedmeesters, vroedvrouwen enz." 130
"535" "Male" "Older than 16" "Geneesheeren, heelmeesters, officieren van gezondheid, oog- en tandmeesters, vroedmeesters, vroedvrouwen enz." 2787
"536" "Female" "Older than 16" "Geneesheeren, heelmeesters, officieren van gezondheid, oog- en tandmeesters, vroedmeesters, vroedvrouwen enz." 6920
"542" "Male" "Older than 16" "Gepensioneerden (burgerlijke en militaire)" 4994
"543" "Female" "Older than 16" "Gepensioneerden (burgerlijke en militaire)" 6020
"547" "Male" "10 to 11" "Geschutgieters, geweermakers" 10
"548" "Male" "12 to 15" "Geschutgieters, geweermakers" 380
"549" "Male" "Older than 16" "Geschutgieters, geweermakers" 3240
"554" "Male" "Older than 16" "Gezantschappen en consulaten (personen behoorende tot de)" 280
"561" "Male" "Younger than 10" "Glasblazers" 10
"562" "Male" "10 to 11" "Glasblazers" 30
"563" "Male" "12 to 15" "Glasblazers" 270
"564" "Female" "12 to 15" "Glasblazers" 10
"565" "Male" "Older than 16" "Glasblazers" 2110
"566" "Female" "Older than 16" "Glasblazers" 50
"573" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Israeliten, dienstdoende personen" 1060
"576" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Israeliten, rabbijnen" 270
"580" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten, dienstdoende personen" 2510
"581" "Female" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Protestanten, dienstdoende personen" 1400
"591" "Male" "Younger than 10" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, dienstdoende personen" 10
"592" "Male" "10 to 11" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, dienstdoende personen" 10
"593" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, dienstdoende personen" 1960
"594" "Female" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, dienstdoende personen" 700
"600" "Female" "12 to 15" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, kloosterlingen, geestelijke zusters" 10
"601" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, kloosterlingen, geestelijke zusters" 1590
"602" "Female" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, kloosterlingen, geestelijke zusters" 8620
"606" "Male" "Older than 16" "Godsdienstleeraren en aan de dienst verbonden personen. Roomsch-Catholijken, pastoors, kapellaans" 1757
"609" "Male" "Younger than 10" "Gouddraadtrekkers, passementwerkers, galonwerkers" 10
"610" "Female" "Younger than 10" "Gouddraadtrekkers, passementwerkers, galonwerkers" 10
"611" "Male" "10 to 11" "Gouddraadtrekkers, passementwerkers, galonwerkers" 50
"612" "Male" "12 to 15" "Gouddraadtrekkers, passementwerkers, galonwerkers" 550
"613" "Male" "Older than 16" "Gouddraadtrekkers, passementwerkers, galonwerkers" 3670
"614" "Female" "Older than 16" "Gouddraadtrekkers, passementwerkers, galonwerkers" 140
"623" "Male" "12 to 15" "Graanhandelaars, gistverkoopers" 20
"624" "Male" "Older than 16" "Graanhandelaars, gistverkoopers" 3710
"625" "Female" "Older than 16" "Graanhandelaars, gistverkoopers" 180
"630" "Male" "12 to 15" "Graveurs op hout, metaal en steen, stempelsnijders" 40
"631" "Male" "Older than 16" "Graveurs op hout, metaal en steen, stempelsnijders" 1280
"636" "Male" "12 to 15" "Griendbazen" 20
"637" "Male" "Older than 16" "Griendbazen" 920
"643" "Male" "10 to 11" "Groenten-, fruitverkoopers" 10
"644" "Male" "12 to 15" "Groenten-, fruitverkoopers" 80
"645" "Female" "12 to 15" "Groenten-, fruitverkoopers" 120
"646" "Male" "Older than 16" "Groenten-, fruitverkoopers" 3760
"647" "Female" "Older than 16" "Groenten-, fruitverkoopers" 1004
"655" "Male" "Older than 16" "Grondeigenaren" 5800
"656" "Female" "Older than 16" "Grondeigenaren" 2340
"661" "Male" "12 to 15" "Grossiers, slijters" 20
"662" "Male" "Older than 16" "Grossiers, slijters" 5710
"663" "Female" "Older than 16" "Grossiers, slijters" 1490
"672" "Male" "10 to 11" "Grutters, kruideniers" 50
"673" "Female" "10 to 11" "Grutters, kruideniers" 10
"674" "Male" "12 to 15" "Grutters, kruideniers" 1000
"675" "Male" "Older than 16" "Grutters, kruideniers" 2445
"676" "Female" "Older than 16" "Grutters, kruideniers" 2190
"682" "Male" "12 to 15" "Haarwerkers" 30
"683" "Male" "Older than 16" "Haarwerkers" 260
"684" "Female" "Older than 16" "Haarwerkers" 60
"690" "Male" "12 to 15" "Handelsleerlingen" 280
"691" "Male" "Older than 16" "Handelsleerlingen" 1800
"692" "Female" "Older than 16" "Handelsleerlingen" 10
"698" "Male" "Older than 16" "Handelsreizigers" 3300
"699" "Female" "Older than 16" "Handelsreizigers" 10
"703" "Male" "Older than 16" "Handschoenen- en dassenmakers" 500
"704" "Female" "Older than 16" "Handschoenen- en dassenmakers" 50
"709" "Male" "Older than 16" "Haven- en bakenmeesters" 1290
"710" "Female" "Older than 16" "Haven- en bakenmeesters" 10
"714" "Male" "Older than 16" "Heemraden en verdere ambtenaren van de waterschappen" 2040
"715" "Female" "Older than 16" "Heemraden en verdere ambtenaren van de waterschappen" 10
"719" "Male" "12 to 15" "Heetmaaijers" 10
"720" "Male" "Older than 16" "Heetmaaijers" 80
"726" "Male" "Younger than 10" "Hennep- en vlasbereiders en teelers" 10
"727" "Female" "Younger than 10" "Hennep- en vlasbereiders en teelers" 150
"728" "Male" "10 to 11" "Hennep- en vlasbereiders en teelers" 30
"729" "Female" "10 to 11" "Hennep- en vlasbereiders en teelers" 50
"730" "Male" "12 to 15" "Hennep- en vlasbereiders en teelers" 920
"731" "Female" "12 to 15" "Hennep- en vlasbereiders en teelers" 80
"732" "Male" "Older than 16" "Hennep- en vlasbereiders en teelers" 1587
"733" "Female" "Older than 16" "Hennep- en vlasbereiders en teelers" 320
"744" "Male" "12 to 15" "Herbergiers, kasteleins, koffijhuishouders" 20
"745" "Female" "12 to 15" "Herbergiers, kasteleins, koffijhuishouders" 30
"746" "Male" "Older than 16" "Herbergiers, kasteleins, koffijhuishouders" 3644
"747" "Female" "Older than 16" "Herbergiers, kasteleins, koffijhuishouders" 1091
"752" "Male" "Younger than 10" "Herders en veehoeders" 260
"753" "Female" "Younger than 10" "Herders en veehoeders" 20
"754" "Male" "10 to 11" "Herders en veehoeders" 990
"755" "Female" "10 to 11" "Herders en veehoeders" 120
"756" "Male" "12 to 15" "Herders en veehoeders" 1029
"757" "Female" "12 to 15" "Herders en veehoeders" 1070
"758" "Male" "Older than 16" "Herders en veehoeders" 2318
"759" "Female" "Older than 16" "Herders en veehoeders" 1070
"777" "Female" "Younger than 10" "Hoeden-, petten- en stroohoedenmakers" 10
"778" "Male" "10 to 11" "Hoeden-, petten- en stroohoedenmakers" 80
"779" "Male" "12 to 15" "Hoeden-, petten- en stroohoedenmakers" 600
"780" "Female" "12 to 15" "Hoeden-, petten- en stroohoedenmakers" 130
"781" "Male" "Older than 16" "Hoeden-, petten- en stroohoedenmakers" 123
"782" "Female" "Older than 16" "Hoeden-, petten- en stroohoedenmakers" 4080
"790" "Male" "Older than 16" "Hoogleeraren en leeraren aan hooge scholen, athenaea, seminarien, clinische scholen en akademien, seminarien" 2220
"795" "Male" "10 to 11" "Houthakkers" 130
"796" "Male" "12 to 15" "Houthakkers" 350
"797" "Male" "Older than 16" "Houthakkers" 2290
"804" "Male" "10 to 11" "Houtzaagmolenaars, houtzagers, houtkoopers" 20
"805" "Male" "12 to 15" "Houtzaagmolenaars, houtzagers, houtkoopers" 590
"806" "Male" "Older than 16" "Houtzaagmolenaars, houtzagers, houtkoopers" 2062
"807" "Female" "Older than 16" "Houtzaagmolenaars, houtzagers, houtkoopers" 110
"820" "Male" "Younger than 10" "Huisleerlingen" 1838
"821" "Female" "Younger than 10" "Huisleerlingen" 1769
"822" "Male" "10 to 11" "Huisleerlingen" 6000
"823" "Female" "10 to 11" "Huisleerlingen" 7190
"824" "Male" "12 to 15" "Huisleerlingen" 1183
"825" "Female" "12 to 15" "Huisleerlingen" 1459
"826" "Male" "Older than 16" "Huisleerlingen" 6510
"827" "Female" "Older than 16" "Huisleerlingen" 7920
"837" "Male" "Older than 16" "IJkmeesters" 590
"840" "Male" "12 to 15" "IJzer- en koperdraaijers" 10
"841" "Male" "Older than 16" "IJzer- en koperdraaijers" 520
"846" "Male" "12 to 15" "IJzergieters" 110
"847" "Male" "Older than 16" "IJzergieters" 1940
"848" "Female" "Older than 16" "IJzergieters" 30
"853" "Male" "12 to 15" "Ingenieurs en verdere ambtenaren van den waterstaat" 10
"854" "Male" "Older than 16" "Ingenieurs en verdere ambtenaren van den waterstaat" 2980
"857" "Male" "Older than 16" "Inleggers van levensbehoeften" 70
"858" "Female" "Older than 16" "Inleggers van levensbehoeften" 10
"863" "Male" "12 to 15" "Jagers" 50
"864" "Male" "Older than 16" "Jagers" 1910
"868" "Male" "Older than 16" "Jagt (personen behoorende tot de)" 2650
"874" "Male" "Younger than 10" "Juweliers, goud- en zilversmeden" 20
"875" "Male" "10 to 11" "Juweliers, goud- en zilversmeden" 180
"876" "Male" "12 to 15" "Juweliers, goud- en zilversmeden" 1880
"877" "Female" "12 to 15" "Juweliers, goud- en zilversmeden" 10
"878" "Male" "Older than 16" "Juweliers, goud- en zilversmeden" 2279
"879" "Female" "Older than 16" "Juweliers, goud- en zilversmeden" 400
"891" "Male" "10 to 11" "Kaarders, wolkammers" 60
"892" "Female" "10 to 11" "Kaarders, wolkammers" 10
"893" "Male" "12 to 15" "Kaarders, wolkammers" 500
"894" "Female" "12 to 15" "Kaarders, wolkammers" 30
"895" "Male" "Older than 16" "Kaarders, wolkammers" 8360
"896" "Female" "Older than 16" "Kaarders, wolkammers" 360
"904" "Male" "10 to 11" "Kaarsenmakers (smeer- en was-)" 10
"905" "Male" "12 to 15" "Kaarsenmakers (smeer- en was-)" 100
"906" "Male" "Older than 16" "Kaarsenmakers (smeer- en was-)" 2960
"907" "Female" "Older than 16" "Kaarsenmakers (smeer- en was-)" 180
"916" "Male" "Younger than 10" "Kabinet- en schrijnwerkers, kunstdraaijers" 30
"917" "Male" "10 to 11" "Kabinet- en schrijnwerkers, kunstdraaijers" 220
"918" "Male" "12 to 15" "Kabinet- en schrijnwerkers, kunstdraaijers" 3810
"919" "Male" "Older than 16" "Kabinet- en schrijnwerkers, kunstdraaijers" 4434
"920" "Female" "Older than 16" "Kabinet- en schrijnwerkers, kunstdraaijers" 140
"926" "Male" "12 to 15" "Kadetten van de landmagt" 110
"927" "Male" "Older than 16" "Kadetten van de landmagt" 1390
"930" "Male" "12 to 15" "Kadetten van de zeemagt" 300
"931" "Male" "Older than 16" "Kadetten van de zeemagt" 770
"938" "Male" "10 to 11" "Kalkbranders, cement- en trasmakers" 10
"939" "Male" "12 to 15" "Kalkbranders, cement- en trasmakers" 50
"940" "Male" "Older than 16" "Kalkbranders, cement- en trasmakers" 1830
"941" "Female" "Older than 16" "Kalkbranders, cement- en trasmakers" 90
"951" "Male" "10 to 11" "Kantoor- en winkelbedienden, pakhuisknechts" 160
"952" "Female" "10 to 11" "Kantoor- en winkelbedienden, pakhuisknechts" 20
"953" "Male" "12 to 15" "Kantoor- en winkelbedienden, pakhuisknechts" 2730
"954" "Female" "12 to 15" "Kantoor- en winkelbedienden, pakhuisknechts" 270
"955" "Male" "Older than 16" "Kantoor- en winkelbedienden, pakhuisknechts" 73
"956" "Female" "Older than 16" "Kantoor- en winkelbedienden, pakhuisknechts" 1043
"965" "Male" "12 to 15" "Kleederen- en gemaaktgoedverkoopers" 10
"966" "Male" "Older than 16" "Kleederen- en gemaaktgoedverkoopers" 440
"967" "Female" "Older than 16" "Kleederen- en gemaaktgoedverkoopers" 100
"977" "Male" "Younger than 10" "Kleedermakers" 170
"978" "Female" "Younger than 10" "Kleedermakers" 10
"979" "Male" "10 to 11" "Kleedermakers" 1290
"980" "Male" "12 to 15" "Kleedermakers" 1554
"981" "Female" "12 to 15" "Kleedermakers" 60
"982" "Male" "Older than 16" "Kleedermakers" 19734
"983" "Female" "Older than 16" "Kleedermakers" 1090
"994" "Female" "10 to 11" "Kleinhandelaars, winkeliers" 10
"995" "Male" "12 to 15" "Kleinhandelaars, winkeliers" 80
"996" "Female" "12 to 15" "Kleinhandelaars, winkeliers" 130
"997" "Male" "Older than 16" "Kleinhandelaars, winkeliers" 12375
"998" "Female" "Older than 16" "Kleinhandelaars, winkeliers" 11006
"1006" "Male" "10 to 11" "Klerken en schrijvers bij notarissen, ontvangers, prokureurs, deurwaarders enz." 20
"1007" "Male" "12 to 15" "Klerken en schrijvers bij notarissen, ontvangers, prokureurs, deurwaarders enz." 710
"1008" "Male" "Older than 16" "Klerken en schrijvers bij notarissen, ontvangers, prokureurs, deurwaarders enz." 1693
"1016" "Male" "Younger than 10" "Klompenmakers" 30
