"occupation_label","province_label","sex_label","age_label","population"
"Vrije beroepen","ROTTERDAM","Mannen","14-20 jaar",41
"Employé's","ROTTERDAM","Mannen","14-20 jaar",3770
"Landbouwarbeiders","ROTTERDAM","Mannen","14-20 jaar",398
"Overige handarbeiders ","ROTTERDAM","Mannen","14-20 jaar",13325
"Totaal","ROTTERDAM","Mannen","14-20 jaar",18577
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","14-20 jaar",42
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","14-20 jaar",2
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","14-20 jaar",7
"Landbouwarbeiders","GRONINGEN","Mannen","14-20 jaar",3252
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","14-20 jaar",47
"Medew.gezinsleden","s-Gravenhage","Mannen","14-20 jaar",836
"Vrije beroepen","s-Gravenhage","Mannen","14-20 jaar",51
"Employé's","s-Gravenhage","Mannen","14-20 jaar",3018
"Landbouwarbeiders","s-Gravenhage","Mannen","14-20 jaar",234
"Overige handarbeiders ","s-Gravenhage","Mannen","14-20 jaar",7035
"Totaal","s-Gravenhage","Mannen","14-20 jaar",11272
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","14-20 jaar",11
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","14-20 jaar",0
"Bedrijfshoofden Winkels","UTRECHT","Mannen","14-20 jaar",2
"Overige handarbeiders ","GRONINGEN","Mannen","14-20 jaar",7142
"Bedrijfshoofden Overige","UTRECHT","Mannen","14-20 jaar",18
"Medew.gezinsleden","UTRECHT","Mannen","14-20 jaar",369
"Vrije beroepen","UTRECHT","Mannen","14-20 jaar",15
"Employé's","UTRECHT","Mannen","14-20 jaar",956
"Landbouwarbeiders","UTRECHT","Mannen","14-20 jaar",71
"Overige handarbeiders ","UTRECHT","Mannen","14-20 jaar",3308
"Totaal","UTRECHT","Mannen","14-20 jaar",4750
"Totaal","GRONINGEN","Mannen","14-20 jaar",15047
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","14-20 jaar",14
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","14-20 jaar",31
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","14-20 jaar",8
"Bedrijfshoofden Overige","FRIESLAND","Mannen","14-20 jaar",82
"Medew.gezinsleden","FRIESLAND","Mannen","14-20 jaar",4727
"Vrije beroepen","FRIESLAND","Mannen","14-20 jaar",19
"Employé's","FRIESLAND","Mannen","14-20 jaar",1418
"Landbouwarbeiders","FRIESLAND","Mannen","14-20 jaar",3611
"Overige handarbeiders ","FRIESLAND","Mannen","14-20 jaar",6563
"Totaal","FRIESLAND","Mannen","14-20 jaar",16473
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","14-20 jaar",19
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","14-20 jaar",51
"Bedrijfshoofden Winkels","DRENTHE","Mannen","14-20 jaar",1
"Bedrijfshoofden Overige","DRENTHE","Mannen","14-20 jaar",30
"Medew.gezinsleden","DRENTHE","Mannen","14-20 jaar",4220
"Vrije beroepen","DRENTHE","Mannen","14-20 jaar",12
"Employé's","DRENTHE","Mannen","14-20 jaar",654
"Landbouwarbeiders","DRENTHE","Mannen","14-20 jaar",2682
"Overige handarbeiders ","DRENTHE","Mannen","14-20 jaar",4477
"Totaal","DRENTHE","Mannen","14-20 jaar",12146
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","14-20 jaar",27
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","14-20 jaar",45
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","14-20 jaar",6
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","14-20 jaar",65
"Medew.gezinsleden","OVERIJSSEL","Mannen","14-20 jaar",6857
"Vrije beroepen","OVERIJSSEL","Mannen","14-20 jaar",42
"Employé's","OVERIJSSEL","Mannen","14-20 jaar",2222
"Landbouwarbeiders","OVERIJSSEL","Mannen","14-20 jaar",2676
"Overige handarbeiders ","OVERIJSSEL","Mannen","14-20 jaar",12702
"Totaal","OVERIJSSEL","Mannen","14-20 jaar",24642
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","14-20 jaar",39
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","14-20 jaar",73
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","14-20 jaar",13
"Bedrijfshoofden Overige","GELDERLAND","Mannen","14-20 jaar",100
"Medew.gezinsleden","GELDERLAND","Mannen","14-20 jaar",11307
"Vrije beroepen","GELDERLAND","Mannen","14-20 jaar",61
"Employé's","GELDERLAND","Mannen","14-20 jaar",3207
"Landbouwarbeiders","GELDERLAND","Mannen","14-20 jaar",4294
"Overige handarbeiders ","GELDERLAND","Mannen","14-20 jaar",18757
"Totaal","GELDERLAND","Mannen","14-20 jaar",37851
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","14-20 jaar",28
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","14-20 jaar",10
"Bedrijfshoofden Winkels","UTRECHT","Mannen","14-20 jaar",4
"Bedrijfshoofden Overige","UTRECHT","Mannen","14-20 jaar",40
"Medew.gezinsleden","UTRECHT","Mannen","14-20 jaar",3221
"Vrije beroepen","UTRECHT","Mannen","14-20 jaar",25
"Employé's","UTRECHT","Mannen","14-20 jaar",2228
"Landbouwarbeiders","UTRECHT","Mannen","14-20 jaar",1565
"Overige handarbeiders ","UTRECHT","Mannen","14-20 jaar",9474
"Totaal","UTRECHT","Mannen","14-20 jaar",16595
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","14-20 jaar",79
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","14-20 jaar",55
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","14-20 jaar",23
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","14-20 jaar",20
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","14-20 jaar",131
"Medew.gezinsleden","NOORDHOLLAND","Mannen","14-20 jaar",8452
"Vrije beroepen","NOORDHOLLAND","Mannen","14-20 jaar",142
"Employé's","NOORDHOLLAND","Mannen","14-20 jaar",8511
"Landbouwarbeiders","NOORDHOLLAND","Mannen","14-20 jaar",4102
"Overige handarbeiders ","NOORDHOLLAND","Mannen","14-20 jaar",28245
"Totaal","NOORDHOLLAND","Mannen","14-20 jaar",49740
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","14-20 jaar",120
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","14-20 jaar",79
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","14-20 jaar",28
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","14-20 jaar",26
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","14-20 jaar",186
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","14-20 jaar",10394
"Vrije beroepen","ZUIDHOLLAND","Mannen","14-20 jaar",136
"Employé's","ZUIDHOLLAND","Mannen","14-20 jaar",11406
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","14-20 jaar",6959
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","14-20 jaar",41460
"Totaal","ZUIDHOLLAND","Mannen","14-20 jaar",70768
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","14-20 jaar",15
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","14-20 jaar",21
"Bedrijfshoofden Winkels","ZEELAND","Mannen","14-20 jaar",2
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","14-20 jaar",5
"Bedrijfshoofden Overige","ZEELAND","Mannen","14-20 jaar",20
"Medew.gezinsleden","ZEELAND","Mannen","14-20 jaar",2558
"Vrije beroepen","ZEELAND","Mannen","14-20 jaar",3
"Employé's","ZEELAND","Mannen","14-20 jaar",765
"Landbouwarbeiders","ZEELAND","Mannen","14-20 jaar",2144
"Overige handarbeiders ","ZEELAND","Mannen","14-20 jaar",3341
"Totaal","ZEELAND","Mannen","14-20 jaar",8869
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","14-20 jaar",55
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","14-20 jaar",72
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","14-20 jaar",11
"Bedrijfshoofden Overige","GRONINGEN","Mannen","21-24 jaar",224
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","21-24 jaar",332
"Medew.gezinsleden","NOORDBRABANT","Mannen","21-24 jaar",6815
"Vrije beroepen","NOORDBRABANT","Mannen","21-24 jaar",128
"Employé's","NOORDBRABANT","Mannen","21-24 jaar",5640
"Landbouwarbeiders","NOORDBRABANT","Mannen","21-24 jaar",1757
"Overige handarbeiders ","NOORDBRABANT","Mannen","21-24 jaar",14890
"Totaal","NOORDBRABANT","Mannen","21-24 jaar",30332
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","21-24 jaar",222
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","21-24 jaar",139
"Bedrijfshoofden Winkels","LIMBURG","Mannen","21-24 jaar",45
"Medew.gezinsleden","GRONINGEN","Mannen","21-24 jaar",1591
"Bedrijfshoofden Overige","LIMBURG","Mannen","21-24 jaar",165
"Medew.gezinsleden","LIMBURG","Mannen","21-24 jaar",3380
"Vrije beroepen","LIMBURG","Mannen","21-24 jaar",95
"Employé's","LIMBURG","Mannen","21-24 jaar",3426
"Landbouwarbeiders","LIMBURG","Mannen","21-24 jaar",667
"Overige handarbeiders ","LIMBURG","Mannen","21-24 jaar",10838
"Totaal","LIMBURG","Mannen","21-24 jaar",18977
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","21-24 jaar",308
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","21-24 jaar",35
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","21-24 jaar",95
"Vrije beroepen","GRONINGEN","Mannen","21-24 jaar",45
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","21-24 jaar",329
"Medew.gezinsleden","AMSTERDAM","Mannen","21-24 jaar",690
"Vrije beroepen","AMSTERDAM","Mannen","21-24 jaar",303
"Employé's","AMSTERDAM","Mannen","21-24 jaar",6266
"Landbouwarbeiders","AMSTERDAM","Mannen","21-24 jaar",118
"Overige handarbeiders ","AMSTERDAM","Mannen","21-24 jaar",10106
"Totaal","AMSTERDAM","Mannen","21-24 jaar",18250
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","21-24 jaar",157
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","21-24 jaar",17
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","21-24 jaar",52
"Employé's","GRONINGEN","Mannen","21-24 jaar",2129
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","21-24 jaar",234
"Medew.gezinsleden","ROTTERDAM","Mannen","21-24 jaar",588
"Vrije beroepen","ROTTERDAM","Mannen","21-24 jaar",147
"Employé's","ROTTERDAM","Mannen","21-24 jaar",4804
"Landbouwarbeiders","ROTTERDAM","Mannen","21-24 jaar",169
"Overige handarbeiders ","ROTTERDAM","Mannen","21-24 jaar",8935
"Totaal","ROTTERDAM","Mannen","21-24 jaar",15103
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","21-24 jaar",164
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","21-24 jaar",21
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","21-24 jaar",60
"Landbouwarbeiders","GRONINGEN","Mannen","21-24 jaar",1704
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","21-24 jaar",172
"Medew.gezinsleden","s-Gravenhage","Mannen","21-24 jaar",486
"Vrije beroepen","s-Gravenhage","Mannen","21-24 jaar",152
"Employé's","s-Gravenhage","Mannen","21-24 jaar",4747
"Landbouwarbeiders","s-Gravenhage","Mannen","21-24 jaar",120
"Overige handarbeiders ","s-Gravenhage","Mannen","21-24 jaar",5208
"Totaal","s-Gravenhage","Mannen","21-24 jaar",11130
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","21-24 jaar",65
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","21-24 jaar",3
"Bedrijfshoofden Winkels","UTRECHT","Mannen","21-24 jaar",26
"Overige handarbeiders ","GRONINGEN","Mannen","21-24 jaar",4598
"Bedrijfshoofden Overige","UTRECHT","Mannen","21-24 jaar",62
"Medew.gezinsleden","UTRECHT","Mannen","21-24 jaar",192
"Vrije beroepen","UTRECHT","Mannen","21-24 jaar",36
"Employé's","UTRECHT","Mannen","21-24 jaar",1443
"Landbouwarbeiders","UTRECHT","Mannen","21-24 jaar",34
"Overige handarbeiders ","UTRECHT","Mannen","21-24 jaar",2340
"Totaal","UTRECHT","Mannen","21-24 jaar",4201
"Totaal","GRONINGEN","Mannen","21-24 jaar",10650
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","21-24 jaar",115
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","21-24 jaar",228
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","21-24 jaar",53
"Bedrijfshoofden Overige","FRIESLAND","Mannen","21-24 jaar",231
"Medew.gezinsleden","FRIESLAND","Mannen","21-24 jaar",2231
"Vrije beroepen","FRIESLAND","Mannen","21-24 jaar",37
"Employé's","FRIESLAND","Mannen","21-24 jaar",1733
"Landbouwarbeiders","FRIESLAND","Mannen","21-24 jaar",2017
"Overige handarbeiders ","FRIESLAND","Mannen","21-24 jaar",3551
"Totaal","FRIESLAND","Mannen","21-24 jaar",10196
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","21-24 jaar",72
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","21-24 jaar",200
"Bedrijfshoofden Winkels","DRENTHE","Mannen","21-24 jaar",24
"Bedrijfshoofden Overige","DRENTHE","Mannen","21-24 jaar",100
"Medew.gezinsleden","DRENTHE","Mannen","21-24 jaar",1916
"Vrije beroepen","DRENTHE","Mannen","21-24 jaar",28
"Employé's","DRENTHE","Mannen","21-24 jaar",1031
"Landbouwarbeiders","DRENTHE","Mannen","21-24 jaar",1267
"Overige handarbeiders ","DRENTHE","Mannen","21-24 jaar",2845
"Totaal","DRENTHE","Mannen","21-24 jaar",7483
"Bedrijfshoofden Nijverheid","OVERIJSSEL","Mannen","21-24 jaar",170
"Bedrijfshoofden Landbouw","OVERIJSSEL","Mannen","21-24 jaar",220
"Bedrijfshoofden Winkels","OVERIJSSEL","Mannen","21-24 jaar",58
"Bedrijfshoofden Overige","OVERIJSSEL","Mannen","21-24 jaar",198
"Medew.gezinsleden","OVERIJSSEL","Mannen","21-24 jaar",3320
"Vrije beroepen","OVERIJSSEL","Mannen","21-24 jaar",70
"Employé's","OVERIJSSEL","Mannen","21-24 jaar",2998
"Landbouwarbeiders","OVERIJSSEL","Mannen","21-24 jaar",1276
"Overige handarbeiders ","OVERIJSSEL","Mannen","21-24 jaar",7860
"Totaal","OVERIJSSEL","Mannen","21-24 jaar",16170
"Bedrijfshoofden Nijverheid","GELDERLAND","Mannen","21-24 jaar",306
"Bedrijfshoofden Landbouw","GELDERLAND","Mannen","21-24 jaar",320
"Bedrijfshoofden Winkels","GELDERLAND","Mannen","21-24 jaar",72
"Bedrijfshoofden Overige","GELDERLAND","Mannen","21-24 jaar",291
"Medew.gezinsleden","GELDERLAND","Mannen","21-24 jaar",5370
"Vrije beroepen","GELDERLAND","Mannen","21-24 jaar",124
"Employé's","GELDERLAND","Mannen","21-24 jaar",4707
"Landbouwarbeiders","GELDERLAND","Mannen","21-24 jaar",2124
"Overige handarbeiders ","GELDERLAND","Mannen","21-24 jaar",12039
"Totaal","GELDERLAND","Mannen","21-24 jaar",25353
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","21-24 jaar",168
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","21-24 jaar",87
"Bedrijfshoofden Winkels","UTRECHT","Mannen","21-24 jaar",72
"Bedrijfshoofden Overige","UTRECHT","Mannen","21-24 jaar",205
"Medew.gezinsleden","UTRECHT","Mannen","21-24 jaar",1568
"Vrije beroepen","UTRECHT","Mannen","21-24 jaar",79
"Employé's","UTRECHT","Mannen","21-24 jaar",3248
"Landbouwarbeiders","UTRECHT","Mannen","21-24 jaar",660
"Overige handarbeiders ","UTRECHT","Mannen","21-24 jaar",6349
"Totaal","UTRECHT","Mannen","21-24 jaar",12436
"Bedrijfshoofden Nijverheid","NOORDHOLLAND","Mannen","21-24 jaar",604
"Bedrijfshoofden Landbouw","NOORDHOLLAND","Mannen","21-24 jaar",351
"Bedrijfshoofden Winkels","NOORDHOLLAND","Mannen","21-24 jaar",191
"Bedrijfshoofden Nijverheid","GRONINGEN","Mannen","21-24 jaar",132
"Bedrijfshoofden Overige","NOORDHOLLAND","Mannen","21-24 jaar",680
"Medew.gezinsleden","NOORDHOLLAND","Mannen","21-24 jaar",4027
"Vrije beroepen","NOORDHOLLAND","Mannen","21-24 jaar",500
"Employé's","NOORDHOLLAND","Mannen","21-24 jaar",11786
"Landbouwarbeiders","NOORDHOLLAND","Mannen","21-24 jaar",1957
"Overige handarbeiders ","NOORDHOLLAND","Mannen","21-24 jaar",19983
"Totaal","NOORDHOLLAND","Mannen","21-24 jaar",40079
"Bedrijfshoofden Nijverheid","ZUIDHOLLAND","Mannen","21-24 jaar",649
"Bedrijfshoofden Landbouw","ZUIDHOLLAND","Mannen","21-24 jaar",492
"Bedrijfshoofden Winkels","ZUIDHOLLAND","Mannen","21-24 jaar",219
"Bedrijfshoofden Landbouw","GRONINGEN","Mannen","21-24 jaar",174
"Bedrijfshoofden Overige","ZUIDHOLLAND","Mannen","21-24 jaar",795
"Medew.gezinsleden","ZUIDHOLLAND","Mannen","21-24 jaar",5034
"Vrije beroepen","ZUIDHOLLAND","Mannen","21-24 jaar",410
"Employé's","ZUIDHOLLAND","Mannen","21-24 jaar",14955
"Landbouwarbeiders","ZUIDHOLLAND","Mannen","21-24 jaar",3149
"Overige handarbeiders ","ZUIDHOLLAND","Mannen","21-24 jaar",26643
"Totaal","ZUIDHOLLAND","Mannen","21-24 jaar",52346
"Bedrijfshoofden Nijverheid","ZEELAND","Mannen","21-24 jaar",50
"Bedrijfshoofden Landbouw","ZEELAND","Mannen","21-24 jaar",110
"Bedrijfshoofden Winkels","ZEELAND","Mannen","21-24 jaar",14
"Bedrijfshoofden Winkels","GRONINGEN","Mannen","21-24 jaar",53
"Bedrijfshoofden Overige","ZEELAND","Mannen","21-24 jaar",115
"Medew.gezinsleden","ZEELAND","Mannen","21-24 jaar",1421
"Vrije beroepen","ZEELAND","Mannen","21-24 jaar",19
"Employé's","ZEELAND","Mannen","21-24 jaar",1182
"Landbouwarbeiders","ZEELAND","Mannen","21-24 jaar",1014
"Overige handarbeiders ","ZEELAND","Mannen","21-24 jaar",2225
"Totaal","ZEELAND","Mannen","21-24 jaar",6150
"Bedrijfshoofden Nijverheid","NOORDBRABANT","Mannen","21-24 jaar",388
"Bedrijfshoofden Landbouw","NOORDBRABANT","Mannen","21-24 jaar",294
"Bedrijfshoofden Winkels","NOORDBRABANT","Mannen","21-24 jaar",88
"Bedrijfshoofden Overige","GRONINGEN","Mannen","25-39 jaar",2848
"Bedrijfshoofden Overige","NOORDBRABANT","Mannen","25-39 jaar",4525
"Medew.gezinsleden","NOORDBRABANT","Mannen","25-39 jaar",8655
"Vrije beroepen","NOORDBRABANT","Mannen","25-39 jaar",1112
"Employé's","NOORDBRABANT","Mannen","25-39 jaar",22931
"Landbouwarbeiders","NOORDBRABANT","Mannen","25-39 jaar",5645
"Overige handarbeiders ","NOORDBRABANT","Mannen","25-39 jaar",51287
"Totaal","NOORDBRABANT","Mannen","25-39 jaar",112297
"Bedrijfshoofden Nijverheid","LIMBURG","Mannen","25-39 jaar",4298
"Bedrijfshoofden Landbouw","LIMBURG","Mannen","25-39 jaar",3676
"Bedrijfshoofden Winkels","LIMBURG","Mannen","25-39 jaar",1136
"Medew.gezinsleden","GRONINGEN","Mannen","25-39 jaar",1803
"Bedrijfshoofden Overige","LIMBURG","Mannen","25-39 jaar",2299
"Medew.gezinsleden","LIMBURG","Mannen","25-39 jaar",4275
"Vrije beroepen","LIMBURG","Mannen","25-39 jaar",655
"Employé's","LIMBURG","Mannen","25-39 jaar",13311
"Landbouwarbeiders","LIMBURG","Mannen","25-39 jaar",2045
"Overige handarbeiders ","LIMBURG","Mannen","25-39 jaar",35344
"Totaal","LIMBURG","Mannen","25-39 jaar",67039
"Bedrijfshoofden Nijverheid","AMSTERDAM","Mannen","25-39 jaar",5170
"Bedrijfshoofden Landbouw","AMSTERDAM","Mannen","25-39 jaar",283
"Bedrijfshoofden Winkels","AMSTERDAM","Mannen","25-39 jaar",2246
"Vrije beroepen","GRONINGEN","Mannen","25-39 jaar",566
"Bedrijfshoofden Overige","AMSTERDAM","Mannen","25-39 jaar",4879
"Medew.gezinsleden","AMSTERDAM","Mannen","25-39 jaar",706
"Vrije beroepen","AMSTERDAM","Mannen","25-39 jaar",2343
"Employé's","AMSTERDAM","Mannen","25-39 jaar",25180
"Landbouwarbeiders","AMSTERDAM","Mannen","25-39 jaar",508
"Overige handarbeiders ","AMSTERDAM","Mannen","25-39 jaar",40203
"Totaal","AMSTERDAM","Mannen","25-39 jaar",81518
"Bedrijfshoofden Nijverheid","ROTTERDAM","Mannen","25-39 jaar",3258
"Bedrijfshoofden Landbouw","ROTTERDAM","Mannen","25-39 jaar",338
"Bedrijfshoofden Winkels","ROTTERDAM","Mannen","25-39 jaar",1485
"Employé's","GRONINGEN","Mannen","25-39 jaar",8632
"Bedrijfshoofden Overige","ROTTERDAM","Mannen","25-39 jaar",3700
"Medew.gezinsleden","ROTTERDAM","Mannen","25-39 jaar",639
"Vrije beroepen","ROTTERDAM","Mannen","25-39 jaar",1129
"Employé's","ROTTERDAM","Mannen","25-39 jaar",17589
"Landbouwarbeiders","ROTTERDAM","Mannen","25-39 jaar",583
"Overige handarbeiders ","ROTTERDAM","Mannen","25-39 jaar",37328
"Totaal","ROTTERDAM","Mannen","25-39 jaar",66049
"Bedrijfshoofden Nijverheid","s-Gravenhage","Mannen","25-39 jaar",3021
"Bedrijfshoofden Landbouw","s-Gravenhage","Mannen","25-39 jaar",205
"Bedrijfshoofden Winkels","s-Gravenhage","Mannen","25-39 jaar",1419
"Landbouwarbeiders","GRONINGEN","Mannen","25-39 jaar",6603
"Bedrijfshoofden Overige","s-Gravenhage","Mannen","25-39 jaar",2587
"Medew.gezinsleden","s-Gravenhage","Mannen","25-39 jaar",410
"Vrije beroepen","s-Gravenhage","Mannen","25-39 jaar",1204
"Employé's","s-Gravenhage","Mannen","25-39 jaar",20629
"Landbouwarbeiders","s-Gravenhage","Mannen","25-39 jaar",640
"Overige handarbeiders ","s-Gravenhage","Mannen","25-39 jaar",20990
"Totaal","s-Gravenhage","Mannen","25-39 jaar",51105
"Bedrijfshoofden Nijverheid","UTRECHT","Mannen","25-39 jaar",1069
"Bedrijfshoofden Landbouw","UTRECHT","Mannen","25-39 jaar",72
"Bedrijfshoofden Winkels","UTRECHT","Mannen","25-39 jaar",604
"Overige handarbeiders ","GRONINGEN","Mannen","25-39 jaar",16682
"Bedrijfshoofden Overige","UTRECHT","Mannen","25-39 jaar",862
"Medew.gezinsleden","UTRECHT","Mannen","25-39 jaar",194
"Vrije beroepen","UTRECHT","Mannen","25-39 jaar",457
"Employé's","UTRECHT","Mannen","25-39 jaar",5232
"Landbouwarbeiders","UTRECHT","Mannen","25-39 jaar",112
"Overige handarbeiders ","UTRECHT","Mannen","25-39 jaar",8865
"Totaal","UTRECHT","Mannen","25-39 jaar",17467
"Totaal","GRONINGEN","Mannen","25-39 jaar",45193
"Bedrijfshoofden Nijverheid","FRIESLAND","Mannen","25-39 jaar",3143
"Bedrijfshoofden Landbouw","FRIESLAND","Mannen","25-39 jaar",5491
"Bedrijfshoofden Winkels","FRIESLAND","Mannen","25-39 jaar",1427
"Bedrijfshoofden Overige","FRIESLAND","Mannen","25-39 jaar",2937
"Medew.gezinsleden","FRIESLAND","Mannen","25-39 jaar",2464
"Vrije beroepen","FRIESLAND","Mannen","25-39 jaar",380
"Employé's","FRIESLAND","Mannen","25-39 jaar",6998
"Landbouwarbeiders","FRIESLAND","Mannen","25-39 jaar",6822
"Overige handarbeiders ","FRIESLAND","Mannen","25-39 jaar",13409
"Totaal","FRIESLAND","Mannen","25-39 jaar",43071
"Bedrijfshoofden Nijverheid","DRENTHE","Mannen","25-39 jaar",1802
"Bedrijfshoofden Landbouw","DRENTHE","Mannen","25-39 jaar",4261
"Bedrijfshoofden Winkels","DRENTHE","Mannen","25-39 jaar",612
"Bedrijfshoofden Overige","DRENTHE","Mannen","25-39 jaar",1176
"Medew.gezinsleden","DRENTHE","Mannen","25-39 jaar",2330
"Vrije beroepen","DRENTHE","Mannen","25-39 jaar",200
"Employé's","DRENTHE","Mannen","25-39 jaar",4133
"Landbouwarbeiders","DRENTHE","Mannen","25-39 jaar",4099
"Overige handarbeiders ","DRENTHE","Mannen","25-39 jaar",9580
"Totaal","DRENTHE","Mannen","25-39 jaar",28193
