"age_c" "gender_c" "occupation_c" "population"
"144" "Older than 70" "Male" "Bad- en zweminrichtingen" 1
"145" "18 to 22" "Female" "Bad- en zweminrichtingen" 1
"146" "25 to 35" "Female" "Bad- en zweminrichtingen" 1
"147" "66 to 70" "Female" "Bad- en zweminrichtingen" 1
"148" "13" "Male" "Badhouders" 1
"149" "14 to 15" "Male" "Badhouders" 1
"150" "18 to 22" "Male" "Badhouders" 1
"151" "25 to 35" "Male" "Badhouders" 4
"152" "36 to 50" "Male" "Badhouders" 9
"153" "51 to 60" "Male" "Badhouders" 3
"154" "61 to 65" "Male" "Badhouders" 4
"155" "66 to 70" "Male" "Badhouders" 1
"156" "Older than 70" "Male" "Badhouders" 1
"157" "25 to 35" "Female" "Badhouders" 2
"158" "51 to 60" "Female" "Badhouders" 3
"159" "66 to 70" "Female" "Badhouders" 1
"160" "14 to 15" "Male" "Baggerlieden" 1
"161" "18 to 22" "Male" "Baggerlieden" 3
"162" "23 to 24" "Male" "Baggerlieden" 2
"163" "25 to 35" "Male" "Baggerlieden" 19
"164" "36 to 50" "Male" "Baggerlieden" 29
"165" "51 to 60" "Male" "Baggerlieden" 16
"166" "61 to 65" "Male" "Baggerlieden" 6
"167" "66 to 70" "Male" "Baggerlieden" 1
"168" "25 to 35" "Male" "Ballastschikkers" 2
"169" "36 to 50" "Male" "Ballastschikkers" 2
"170" "51 to 60" "Male" "Ballastschikkers" 2
"171" "61 to 65" "Male" "Ballastschikkers" 1
"172" "25 to 35" "Male" "Balletjesmakers" 2
"173" "36 to 50" "Male" "Balletjesmakers" 1
"174" "51 to 60" "Male" "Balletjesmakers" 1
"175" "12" "Male" "Barbiers" 13
"176" "13" "Male" "Barbiers" 28
"177" "14 to 15" "Male" "Barbiers" 102
"178" "16 to 17" "Male" "Barbiers" 118
"179" "18 to 22" "Male" "Barbiers" 230
"180" "23 to 24" "Male" "Barbiers" 50
"181" "25 to 35" "Male" "Barbiers" 282
"182" "36 to 50" "Male" "Barbiers" 174
"183" "51 to 60" "Male" "Barbiers" 60
"184" "61 to 65" "Male" "Barbiers" 31
"185" "66 to 70" "Male" "Barbiers" 18
"186" "Older than 70" "Male" "Barbiers" 6
"187" "23 to 24" "Female" "Barbiers" 1
"188" "25 to 35" "Female" "Barbiers" 2
"189" "36 to 50" "Female" "Barbiers" 1
"190" "51 to 60" "Female" "Barbiers" 2
"191" "61 to 65" "Female" "Barbiers" 1
"192" "66 to 70" "Female" "Barbiers" 1
"193" "Older than 70" "Female" "Barbiers" 1
"194" "12" "Male" "Beambten" 1
"195" "13" "Male" "Beambten" 1
"196" "14 to 15" "Male" "Beambten" 16
"197" "16 to 17" "Male" "Beambten" 28
"198" "18 to 22" "Male" "Beambten" 164
"199" "23 to 24" "Male" "Beambten" 119
"200" "25 to 35" "Male" "Beambten" 621
"201" "36 to 50" "Male" "Beambten" 475
"202" "51 to 60" "Male" "Beambten" 79
"203" "61 to 65" "Male" "Beambten" 21
"204" "66 to 70" "Male" "Beambten" 9
"205" "Older than 70" "Male" "Beambten" 1
"206" "16 to 17" "Female" "Beambten" 1
"207" "25 to 35" "Female" "Beambten" 2
"208" "36 to 50" "Female" "Beambten" 1
"209" "51 to 60" "Female" "Beambten" 1
"210" "66 to 70" "Female" "Beambten" 1
"211" "51 to 60" "Female" "Beddenverhuurders" 1
"212" "61 to 65" "Female" "Beddenverhuurders" 1
"213" "66 to 70" "Female" "Beddenverhuurders" 1
"214" "16 to 17" "Male" "Beeldengieters" 1
"215" "18 to 22" "Male" "Beeldengieters" 3
"216" "23 to 24" "Male" "Beeldengieters" 2
"217" "25 to 35" "Male" "Beeldengieters" 7
"218" "36 to 50" "Male" "Beeldengieters" 5
"219" "51 to 60" "Male" "Beeldengieters" 4
"220" "Older than 70" "Male" "Beeldengieters" 1
"221" "12" "Male" "Beeldhouwers" 3
"222" "13" "Male" "Beeldhouwers" 14
"223" "14 to 15" "Male" "Beeldhouwers" 28
"224" "16 to 17" "Male" "Beeldhouwers" 37
"225" "18 to 22" "Male" "Beeldhouwers" 83
"226" "23 to 24" "Male" "Beeldhouwers" 32
"227" "25 to 35" "Male" "Beeldhouwers" 105
"228" "36 to 50" "Male" "Beeldhouwers" 114
"229" "51 to 60" "Male" "Beeldhouwers" 26
"230" "61 to 65" "Male" "Beeldhouwers" 6
"231" "66 to 70" "Male" "Beeldhouwers" 4
"232" "Older than 70" "Male" "Beeldhouwers" 1
"233" "12" "Male" "Behangers" 6
"234" "13" "Male" "Behangers" 49
"235" "14 to 15" "Male" "Behangers" 186
"236" "16 to 17" "Male" "Behangers" 168
"237" "18 to 22" "Male" "Behangers" 842
"238" "23 to 24" "Male" "Behangers" 128
"239" "25 to 35" "Male" "Behangers" 582
"240" "36 to 50" "Male" "Behangers" 427
"241" "51 to 60" "Male" "Behangers" 207
"242" "61 to 65" "Male" "Behangers" 64
"243" "66 to 70" "Male" "Behangers" 49
"244" "Older than 70" "Male" "Behangers" 16
"245" "16 to 17" "Female" "Behangers" 1
"246" "18 to 22" "Female" "Behangers" 1
"247" "23 to 24" "Female" "Behangers" 1
"248" "36 to 50" "Female" "Behangers" 3
"249" "61 to 65" "Female" "Behangers" 1
"250" "66 to 70" "Female" "Behangers" 2
"251" "18 to 22" "Male" "Beignets-, poffertjes- en wafelbakkers" 3
"252" "23 to 24" "Male" "Beignets-, poffertjes- en wafelbakkers" 3
"253" "25 to 35" "Male" "Beignets-, poffertjes- en wafelbakkers" 8
"254" "36 to 50" "Male" "Beignets-, poffertjes- en wafelbakkers" 6
"255" "51 to 60" "Male" "Beignets-, poffertjes- en wafelbakkers" 8
"256" "61 to 65" "Male" "Beignets-, poffertjes- en wafelbakkers" 2
"257" "66 to 70" "Male" "Beignets-, poffertjes- en wafelbakkers" 3
"258" "Older than 70" "Male" "Beignets-, poffertjes- en wafelbakkers" 1
"259" "25 to 35" "Female" "Beignets-, poffertjes- en wafelbakkers" 2
"260" "36 to 50" "Female" "Beignets-, poffertjes- en wafelbakkers" 2
"261" "Older than 70" "Female" "Beignets-, poffertjes- en wafelbakkers" 1
"262" "14 to 15" "Male" "Bestelhuishouders en dienstverrichting" 6
"263" "16 to 17" "Male" "Bestelhuishouders en dienstverrichting" 5
"264" "18 to 22" "Male" "Bestelhuishouders en dienstverrichting" 22
"265" "23 to 24" "Male" "Bestelhuishouders en dienstverrichting" 16
"266" "25 to 35" "Male" "Bestelhuishouders en dienstverrichting" 115
"267" "36 to 50" "Male" "Bestelhuishouders en dienstverrichting" 144
"268" "51 to 60" "Male" "Bestelhuishouders en dienstverrichting" 72
"269" "61 to 65" "Male" "Bestelhuishouders en dienstverrichting" 15
"270" "66 to 70" "Male" "Bestelhuishouders en dienstverrichting" 6
"271" "Older than 70" "Male" "Bestelhuishouders en dienstverrichting" 3
"272" "23 to 24" "Female" "Bestelhuishouders en dienstverrichting" 1
"273" "36 to 50" "Female" "Bestelhuishouders en dienstverrichting" 1
"274" "61 to 65" "Female" "Bestelhuishouders en dienstverrichting" 1
"275" "36 to 50" "Female" "Bewaarsters van cabinets d'aisance" 1
"276" "14 to 15" "Male" "Bezem- en heiboendermakers" 3
"277" "16 to 17" "Male" "Bezem- en heiboendermakers" 1
"278" "18 to 22" "Male" "Bezem- en heiboendermakers" 4
"279" "25 to 35" "Male" "Bezem- en heiboendermakers" 3
"280" "36 to 50" "Male" "Bezem- en heiboendermakers" 7
"281" "51 to 60" "Male" "Bezem- en heiboendermakers" 4
"282" "61 to 65" "Male" "Bezem- en heiboendermakers" 1
"283" "66 to 70" "Male" "Bezem- en heiboendermakers" 3
"284" "12" "Male" "Bierbottelaars" 1
"285" "14 to 15" "Male" "Bierbottelaars" 12
"286" "16 to 17" "Male" "Bierbottelaars" 29
"287" "18 to 22" "Male" "Bierbottelaars" 62
"288" "23 to 24" "Male" "Bierbottelaars" 24
"289" "25 to 35" "Male" "Bierbottelaars" 87
"290" "36 to 50" "Male" "Bierbottelaars" 59
"291" "51 to 60" "Male" "Bierbottelaars" 17
"292" "61 to 65" "Male" "Bierbottelaars" 5
"293" "66 to 70" "Male" "Bierbottelaars" 1
"294" "Older than 70" "Male" "Bierbottelaars" 1
"295" "36 to 50" "Female" "Bierbottelaars" 2
"296" "Older than 70" "Female" "Bierbottelaars" 1
"297" "13" "Male" "Bierbrouwers" 3
"298" "14 to 15" "Male" "Bierbrouwers" 28
"299" "16 to 17" "Male" "Bierbrouwers" 20
"300" "18 to 22" "Male" "Bierbrouwers" 58
"301" "23 to 24" "Male" "Bierbrouwers" 45
"302" "25 to 35" "Male" "Bierbrouwers" 141
"303" "36 to 50" "Male" "Bierbrouwers" 124
"304" "51 to 60" "Male" "Bierbrouwers" 40
"305" "61 to 65" "Male" "Bierbrouwers" 8
"306" "66 to 70" "Male" "Bierbrouwers" 5
"307" "Older than 70" "Male" "Bierbrouwers" 5
"308" "18 to 22" "Male" "Bierhuishouders" 1
"309" "23 to 24" "Male" "Bierhuishouders" 3
"310" "25 to 35" "Male" "Bierhuishouders" 36
"311" "36 to 50" "Male" "Bierhuishouders" 47
"312" "51 to 60" "Male" "Bierhuishouders" 22
"313" "61 to 65" "Male" "Bierhuishouders" 1
"314" "66 to 70" "Male" "Bierhuishouders" 1
"315" "23 to 24" "Female" "Bierhuishouders" 6
"316" "25 to 35" "Female" "Bierhuishouders" 54
"317" "36 to 50" "Female" "Bierhuishouders" 68
"318" "51 to 60" "Female" "Bierhuishouders" 14
"319" "61 to 65" "Female" "Bierhuishouders" 3
"320" "66 to 70" "Female" "Bierhuishouders" 2
"321" "Older than 70" "Female" "Bierhuishouders" 2
"322" "13" "Male" "Billardmakers" 2
"323" "14 to 15" "Male" "Billardmakers" 1
"324" "18 to 22" "Male" "Billardmakers" 3
"325" "23 to 24" "Male" "Billardmakers" 2
"326" "25 to 35" "Male" "Billardmakers" 15
"327" "36 to 50" "Male" "Billardmakers" 12
"328" "51 to 60" "Male" "Billardmakers" 7
"329" "61 to 65" "Male" "Billardmakers" 1
"330" "66 to 70" "Male" "Billardmakers" 2
"331" "Older than 70" "Male" "Billardmakers" 2
"332" "36 to 50" "Female" "Billardmakers" 1
"333" "36 to 50" "Male" "Blaasbalgmakers" 1
"334" "61 to 65" "Male" "Blaasbalgmakers" 1
"335" "51 to 60" "Male" "Blauwververs" 1
"336" "12" "Male" "Bleekers" 1
"337" "13" "Male" "Bleekers" 1
"338" "14 to 15" "Male" "Bleekers" 3
"339" "16 to 17" "Male" "Bleekers" 13
"340" "18 to 22" "Male" "Bleekers" 30
"341" "23 to 24" "Male" "Bleekers" 9
"342" "25 to 35" "Male" "Bleekers" 65
"343" "36 to 50" "Male" "Bleekers" 69
"344" "51 to 60" "Male" "Bleekers" 32
"345" "61 to 65" "Male" "Bleekers" 12
"346" "66 to 70" "Male" "Bleekers" 4
"347" "Older than 70" "Male" "Bleekers" 3
"348" "13" "Female" "Bleekers" 2
"349" "14 to 15" "Female" "Bleekers" 3
"350" "16 to 17" "Female" "Bleekers" 8
"351" "18 to 22" "Female" "Bleekers" 19
"352" "23 to 24" "Female" "Bleekers" 7
"353" "25 to 35" "Female" "Bleekers" 7
"354" "36 to 50" "Female" "Bleekers" 11
"355" "51 to 60" "Female" "Bleekers" 7
"356" "61 to 65" "Female" "Bleekers" 2
"357" "66 to 70" "Female" "Bleekers" 1
"358" "12" "Male" "Blikslagers" 5
"359" "13" "Male" "Blikslagers" 11
"360" "14 to 15" "Male" "Blikslagers" 24
"361" "16 to 17" "Male" "Blikslagers" 18
"362" "18 to 22" "Male" "Blikslagers" 44
"363" "23 to 24" "Male" "Blikslagers" 20
"364" "25 to 35" "Male" "Blikslagers" 109
"365" "36 to 50" "Male" "Blikslagers" 117
"366" "51 to 60" "Male" "Blikslagers" 55
"367" "61 to 65" "Male" "Blikslagers" 16
"368" "66 to 70" "Male" "Blikslagers" 11
"369" "Older than 70" "Male" "Blikslagers" 11
"370" "25 to 35" "Male" "Bloembollenkweekers" 1
"371" "18 to 22" "Female" "Bloemenmaaksters" 1
"372" "12" "Male" "Bloemisten" 2
"373" "13" "Male" "Bloemisten" 4
"374" "14 to 15" "Male" "Bloemisten" 39
"375" "16 to 17" "Male" "Bloemisten" 38
"376" "18 to 22" "Male" "Bloemisten" 60
"377" "23 to 24" "Male" "Bloemisten" 23
"378" "25 to 35" "Male" "Bloemisten" 98
"379" "36 to 50" "Male" "Bloemisten" 112
"380" "51 to 60" "Male" "Bloemisten" 44
"381" "61 to 65" "Male" "Bloemisten" 14
"382" "66 to 70" "Male" "Bloemisten" 8
"383" "Older than 70" "Male" "Bloemisten" 9
"384" "25 to 35" "Female" "Bloemisten" 2
"385" "51 to 60" "Female" "Bloemisten" 1
"386" "13" "Male" "Blok- en mastenmakers" 1
"387" "16 to 17" "Male" "Blok- en mastenmakers" 2
"388" "18 to 22" "Male" "Blok- en mastenmakers" 2
"389" "25 to 35" "Male" "Blok- en mastenmakers" 8
"390" "36 to 50" "Male" "Blok- en mastenmakers" 12
"391" "51 to 60" "Male" "Blok- en mastenmakers" 8
"392" "61 to 65" "Male" "Blok- en mastenmakers" 4
"393" "66 to 70" "Male" "Blok- en mastenmakers" 1
"394" "Older than 70" "Male" "Blok- en mastenmakers" 2
"395" "61 to 65" "Female" "Blok- en mastenmakers" 1
"396" "14 to 15" "Male" "Boden (geen beambten in openbare dienst)" 1
"397" "18 to 22" "Male" "Boden (geen beambten in openbare dienst)" 13
"398" "23 to 24" "Male" "Boden (geen beambten in openbare dienst)" 8
"399" "25 to 35" "Male" "Boden (geen beambten in openbare dienst)" 60
"400" "36 to 50" "Male" "Boden (geen beambten in openbare dienst)" 106
"401" "51 to 60" "Male" "Boden (geen beambten in openbare dienst)" 68
"402" "61 to 65" "Male" "Boden (geen beambten in openbare dienst)" 27
"403" "66 to 70" "Male" "Boden (geen beambten in openbare dienst)" 19
"404" "Older than 70" "Male" "Boden (geen beambten in openbare dienst)" 13
"405" "14 to 15" "Male" "Boekbinders" 1
"406" "18 to 22" "Male" "Boekbinders" 3
"407" "23 to 24" "Male" "Boekbinders" 4
"408" "25 to 35" "Male" "Boekbinders" 38
"409" "36 to 50" "Male" "Boekbinders" 64
"410" "51 to 60" "Male" "Boekbinders" 31
"411" "61 to 65" "Male" "Boekbinders" 6
"412" "66 to 70" "Male" "Boekbinders" 11
"413" "Older than 70" "Male" "Boekbinders" 8
"414" "36 to 50" "Female" "Boekbinders" 1
"415" "61 to 65" "Female" "Boekbinders" 1
"416" "18 to 22" "Male" "Boekdrukkers" 2
"417" "23 to 24" "Male" "Boekdrukkers" 5
"418" "25 to 35" "Male" "Boekdrukkers" 41
"419" "36 to 50" "Male" "Boekdrukkers" 53
"420" "51 to 60" "Male" "Boekdrukkers" 24
"421" "61 to 65" "Male" "Boekdrukkers" 9
"422" "66 to 70" "Male" "Boekdrukkers" 4
"423" "Older than 70" "Male" "Boekdrukkers" 1
"424" "51 to 60" "Female" "Boekdrukkers" 1
"425" "61 to 65" "Female" "Boekdrukkers" 1
"426" "66 to 70" "Female" "Boekdrukkers" 1
"427" "Older than 70" "Female" "Boekdrukkers" 1
"428" "18 to 22" "Male" "Boekenverhuurders" 1
"429" "25 to 35" "Male" "Boekenverhuurders" 3
"430" "36 to 50" "Male" "Boekenverhuurders" 7
"431" "51 to 60" "Male" "Boekenverhuurders" 3
"432" "36 to 50" "Female" "Boekenverhuurders" 1
"433" "51 to 60" "Female" "Boekenverhuurders" 1
"434" "66 to 70" "Female" "Boekenverhuurders" 1
"435" "18 to 22" "Male" "Boomkweekers" 1
"436" "25 to 35" "Male" "Boomkweekers" 2
"437" "36 to 50" "Male" "Boomkweekers" 1
"438" "51 to 60" "Male" "Boomkweekers" 3
"439" "61 to 65" "Male" "Boomkweekers" 1
"440" "23 to 24" "Male" "Bootenverhuurders" 1
"441" "61 to 65" "Male" "Bootenverhuurders" 1
"442" "14 to 15" "Male" "Bootwerkers" 1
"443" "16 to 17" "Male" "Bootwerkers" 12
"444" "18 to 22" "Male" "Bootwerkers" 38
"445" "23 to 24" "Male" "Bootwerkers" 62
"446" "25 to 35" "Male" "Bootwerkers" 186
"447" "36 to 50" "Male" "Bootwerkers" 241
"448" "51 to 60" "Male" "Bootwerkers" 93
"449" "61 to 65" "Male" "Bootwerkers" 21
"450" "66 to 70" "Male" "Bootwerkers" 16
"451" "Older than 70" "Male" "Bootwerkers" 1
"452" "18 to 22" "Female" "Borduursters" 2
"453" "23 to 24" "Female" "Borduursters" 1
"454" "25 to 35" "Female" "Borduursters" 4
"455" "36 to 50" "Female" "Borduursters" 4
"456" "51 to 60" "Female" "Borduursters" 2
"457" "61 to 65" "Female" "Borduursters" 1
"458" "66 to 70" "Female" "Borduursters" 3
"459" "Older than 70" "Female" "Borduursters" 2
"460" "13" "Male" "Borduurwerkers" 1
"461" "14 to 15" "Male" "Borduurwerkers" 1
"462" "16 to 17" "Male" "Borduurwerkers" 1
"463" "18 to 22" "Male" "Borduurwerkers" 2
"464" "25 to 35" "Male" "Borduurwerkers" 3
"465" "36 to 50" "Male" "Borduurwerkers" 12
"466" "61 to 65" "Male" "Borduurwerkers" 1
"467" "Older than 70" "Male" "Borduurwerkers" 1
"468" "36 to 50" "Female" "Borduurwerkers" 1
"469" "51 to 60" "Female" "Borduurwerkers" 1
"470" "14 to 15" "Male" "Branders (fabricage van alcohol)" 3
"471" "16 to 17" "Male" "Branders (fabricage van alcohol)" 2
"472" "18 to 22" "Male" "Branders (fabricage van alcohol)" 11
"473" "23 to 24" "Male" "Branders (fabricage van alcohol)" 6
"474" "25 to 35" "Male" "Branders (fabricage van alcohol)" 22
"475" "36 to 50" "Male" "Branders (fabricage van alcohol)" 80
"476" "51 to 60" "Male" "Branders (fabricage van alcohol)" 27
"477" "61 to 65" "Male" "Branders (fabricage van alcohol)" 2
"478" "66 to 70" "Male" "Branders (fabricage van alcohol)" 3
"479" "Older than 70" "Male" "Branders (fabricage van alcohol)" 1
"480" "51 to 60" "Female" "Branders (fabricage van alcohol)" 1
"481" "61 to 65" "Female" "Branders (fabricage van alcohol)" 1
"482" "25 to 35" "Male" "Breisters" 2
"483" "36 to 50" "Male" "Breisters" 2
"484" "12" "Female" "Breisters" 2
"485" "13" "Female" "Breisters" 8
"486" "14 to 15" "Female" "Breisters" 19
"487" "16 to 17" "Female" "Breisters" 32
"488" "18 to 22" "Female" "Breisters" 43
"489" "Younger than 12" "Female" "Breisters" 1
"490" "23 to 24" "Female" "Breisters" 15
"491" "25 to 35" "Female" "Breisters" 25
"492" "36 to 50" "Female" "Breisters" 25
"493" "51 to 60" "Female" "Breisters" 35
"494" "61 to 65" "Female" "Breisters" 7
"495" "66 to 70" "Female" "Breisters" 10
"496" "Older than 70" "Female" "Breisters" 19
"497" "14 to 15" "Male" "Breukbandenmakers" 1
"498" "25 to 35" "Male" "Breukbandenmakers" 3
"499" "36 to 50" "Male" "Breukbandenmakers" 7
"500" "51 to 60" "Male" "Breukbandenmakers" 4
"501" "51 to 60" "Female" "Breukbandenmakers" 1
"502" "18 to 22" "Male" "Brievenbestellers" 6
"503" "23 to 24" "Male" "Brievenbestellers" 14
"504" "25 to 35" "Male" "Brievenbestellers" 223
"505" "36 to 50" "Male" "Brievenbestellers" 174
"506" "51 to 60" "Male" "Brievenbestellers" 12
"507" "61 to 65" "Male" "Brievenbestellers" 2
"508" "66 to 70" "Male" "Brievenbestellers" 2
"509" "36 to 50" "Male" "Brillenslijpers" 2
"510" "25 to 35" "Male" "Brillensnijders" 1
"511" "12" "Male" "Brood- en beschuitbakkers" 5
"512" "13" "Male" "Brood- en beschuitbakkers" 20
"513" "14 to 15" "Male" "Brood- en beschuitbakkers" 93
"514" "16 to 17" "Male" "Brood- en beschuitbakkers" 185
"515" "18 to 22" "Male" "Brood- en beschuitbakkers" 450
"516" "23 to 24" "Male" "Brood- en beschuitbakkers" 190
"517" "25 to 35" "Male" "Brood- en beschuitbakkers" 821
"518" "36 to 50" "Male" "Brood- en beschuitbakkers" 855
"519" "51 to 60" "Male" "Brood- en beschuitbakkers" 371
"520" "61 to 65" "Male" "Brood- en beschuitbakkers" 118
"521" "66 to 70" "Male" "Brood- en beschuitbakkers" 47
"522" "Older than 70" "Male" "Brood- en beschuitbakkers" 25
